0,,36氪,关注互联网创业的平台 ,网站，公众号
1,,钛媒体,TMT行业观点平台,网站，公众号
2,,创业邦,创业者信息平台和服务平台,网站，公众号
3,,雷锋网,专注互联网创业创新,网站，公众号
4,,投资界,清科旗下-TMT、IT服务,网站，公众号
5,,pingwest品玩,关于硅谷与中国最前沿科技,网站，公众号
6,,动点科技,报道中国创业创新,网站，公众号
7,,人人都是产品经理,学习交流平台,网站，公众号
8,,i黑马,创新创业服务平台,网站，公众号
9,,极客公园,只为商业新变量,网站，公众号
10,,经纬创投,经纬中国旗下创业服务平台,公众号
11,,中经未来产业研究院,细分产业研究机构,www.19baogao.com
12,,前瞻产业研究院,聚焦于细分产业的研究分析以及产业大数据平台研发建设,bg.qianzhan.com
13,,投中网,中国股权投资行业新闻门户,www.chinaventure.com.cn


利用百度以及搜狗的索引进行查找,然后把所有的链接保存下来(利用正则匹配),这个方法没有用,因为百度只展示75页
