82c30dd3fe0b60c5aa6fe402eebe9767,,女,25岁,本科, 今日头条-                            -                                                                            ,-                                高级区域总监 ,5年工作经验,上海,,产品运营,全职,上海,30k,50k,----核心经历：-两年半创业项目活动运营负责人经验-一年半大众点评O2O行业中型客户商务拓展经验-一年全国量级集团大客户开拓维护合作及渠道管理经验-----,,,{ 工作经历 :暴走团城市联盟,2012.05 , 2014.11,活动部负责人,--该联盟为户外俱乐部属性，香港注册NGO组织，隶属江苏创设未来投资集团，目前已成功召开5次全国峰会，分支机构涵盖14个城市。该创业项目已于去年获得天使轮融资；--作为联盟总部活动运营负责人，针对组织需求策划活动，撰写与制作文案策划及海报，全方位参与组织的活动设计、发布、宣传、品牌形象建立等工作；--培养核心用户，激发参与者兴趣，转换积极用户为领队及志愿者，提升用户归属感，降低组织运营压力。-工作业绩——-任职期间，总部地区保持活动频率3-5次/月，两年来各公众平台总活动数量近300个，累计参与人数逾10万。-与各地团长进行工作对接，确保各地机构品牌形象发展一致，用户数量及客单稳步提升。---;大众点评,2014.12 , 2015.11,BD,--担任大众点评网商户营销顾问，为餐饮商户提供整合营销方案；--合作商户粘性大，活跃度高，类型分布均匀；--工作期间多次协助产品经理迭代产品，并进行意见沟通；擅于优化商家运营流程，从商户角度为其解决问题。-工作业绩——-签约并掌握上海市区200余家餐饮资源，长期直面一线商户，了解商户需求，入职半年月订单量过万，多次竞得TopSales称号，业绩排名稳定于前三。-与多家餐饮企业负责人及营销总监关系良好，行业交流频繁，能够针对不同品类商户，提供切实可行的营销计划，对市场前瞻性有一定理解和感悟。可通过餐饮企业营销总监，进行餐厅所在购物中心市场部门的合作对接。-与多家餐饮上游供应商（收银系统解决方案、啤酒供应、菜单制作、调味料供应、日料生鲜进口）保持良好关系。-2015.01-06上海+南京+无锡+苏州市场新人王（业绩居上述市场前5%）-2015.01-02大众点评预订4组TopSales ---;安居客,2015.11 , 2016.04,大客户经理,--签单月合作合同额为30-50w不等，针对各地产项目属性，搭配资源进行媒体投放及推广；--主要职能包括电商营销方案制定，区域客户数据分析，商务洽谈，创意活动落地组织，异业合作，客情维护等。-工作业绩——-与多家地产开发商建立友好关系，接触包括新城、华邦、万达、月星等商业地产项目。-工作内容为广告媒体属性，对广告提案能力要求高，独立完成多份合作价值逾30w/月的的项目策划提案。---;大众点评,2016.04 , 2016.12,BD,--结婚事业部营销顾问，为结婚行业客户提供市场营销方案及广告投放策略建议。--对结婚业态有深入全面的了解分析，所负责客户的互联网广告组合投放效果明显优化。--单次合作投放，广告及营销方案价格为4-60w不等。-工作业绩——-2016.05-08收款业绩第一，并参加全国top封闭培训会议。---;今日头条,2016.12 , 至今,高级区域总监,--独立一人负责结婚及母婴两个行业直客客户开发，同时兼顾已签客户渠道管理。--其他客户类型包含服饰、眼镜、食品饮料等快消品类，以及电商、互金等网服品类，为客户组建品效合一的推广计划。--提案能力优秀，渠道合作拓展能力优秀。--能够根据客户集团需求给出全案策划，具有高层谈判能力。 -工作业绩——-国内结婚龙头top企业嘉豪集团、唯一集团、华人婚庆集团直客签入合作；国内母婴龙头top企业乐友集团、孩子王控股、亦蓁母婴集团直客签入合作。-与华东本地知名代理商广点网络、乐推、德绚、天擎等保持良好关系及业务往来；与全国广告代理商中润无线、广东省广告集团等保持良好关系及业务往来。-个人年指标1200w。---;},{南京农业大学,本科 , 种子科学与工程,2014年毕业;},{},{MS Office,精通;Adobe Photoshop,掌握;},{}
19beae07cd597ae14350ced0b3d0836e, 在线旅游行业三年的从业经历，同时自己也向往并热爱旅游。 -                                    ,男,24岁,本科, 艺龙网信息技术（北京）有限公司-                            -                                                                            ,-                                BU住宿合作伙伴部-LPS（大住宿）运营部 运营经理 ,3年工作经验,北京,-从应届生毕业校招进入艺龙以来就跨入了旅游互联网的圈子，从此一直所从事的工作一直与酒店业务相关，和酒店进行更紧密的合作争取更好的价格，解决客人预订住宿的遇到的各种问题及投诉。艺龙教会了我看复杂的图表进行数据分析，了解自己的生意是获取增长的基础。而从业务转型到产品运营，让我更能从一线业务的角度去优化业务/酒店所使用的后端产品，从前段业务经验积累的数据分析能力让我习惯于从数据出发去思考对公司带来的收益。从事运营工作的经验不仅让我熟悉产品优化迭代的思路，更能够把控用户需求的优先级，和多部门同事协调合作提升用户体验，同时提高公司的运营效率及收益。--,运营经理或高级运营经理,全职,北京,15k,25k,,,,{ 工作经历 :艺龙网信息技术（北京）有限公司上海分公司,2014.02 , 2015.06,BU住宿合作伙伴部 市场经理,--负责上海长宁&闵行区700家酒店生意，间夜总量位居上海区域前3。-通过商务谈判、市场预测、数据分析等对酒店进行整体价格体系规划；-通过把控酒店价格劣势率、关房率、拒单率等运营指标，及时沟通酒店提升服务指标。----;上海麦亲信息科技有限公司（麦淘亲子）,2015.07 , 2015.11,酒店事业部 BD经理,--从零开始拓展麦淘华东酒店业务，3个月上线酒店40家，8月完成销售额是7月10倍。---;艺龙网信息技术（北京）有限公司,2015.12 , 至今,BU住宿合作伙伴部-LPS（大住宿）运营部 运营经理,-•负责业务后台CRM、酒店后台ebooking两款工具的产品运营，收集调研需求，持续推动产品对系统解决方案进行排期，提升使用方对系统工具的使用率及运作效率。-•负责尾房&钟点房项目，对订单负责，协调多部门资源，通过丰富SKU、新增流量入口等措施推动订单量的提升，Q4对比Q3尾房订单占比提升1.76%，钟点房订单量提升65.8%。-•作为携程集团（携程+艺龙+去哪儿）业务合并项目在艺龙侧的业务对接人，参与业务统一管理后台系统的需求讨论，并制作培训文档，培训业务和推广新系统的使用。--;},{南京农业大学,本科 , 工商管理,2014年毕业;},{CRM——APP数据中心优化项目,项目运营负责人,2016.09 , 2016.10,-项目旨在通过分析业务实际工作场景中所需数据，重构手机端CRM中数据中心模块，提升业务获取销售数据的丰富度及便捷性。-项目成果：-两轮迭代后，数据中心周使用人数较过去提升38%。-项目推进：--接入买断房数据：集团考核指标，买断酒店占整体有产酒店4.6%，REV占比9%；-拒单预警：集团考核服务指标之一，设计预警逻辑展示服务指数差即将进入黑名单酒店；-接入分销占比数据：携程去哪儿分销订单占比超35%，从分销后台接入数据。---;ebooking（EB）——酒店促销自动化项目,项目运营负责人,2016.04 , 2016.11,-项目旨在提升艺龙平台非核心酒店自主通过EB系统管理促销活动的能力，并提升EB使用率。-项目成果：EB酒店设置促销功能自2016.10上线以来超12000家酒店已通过该功能设置促销，促销产品直接贡献佣金收入超100万（6个月）。-项目推进：--通过微信H5尾房大促报名链接转发，达到浏览量破万转化率3.5%的结果，验证存在需求；-APP端EB上线简易版促销报名功能，日均报名酒店100家，以此推动PC端需求立项；-PC端设置尾房功能上线，通过向业务培训宣讲、艺龙官方微信服务号多次推送进行推广；-促销自动化二期功能上线，新增钟点房、限时抢、连住等多种其他促销方式。---;尾房+钟点房项目,项目运营负责人,2016.10 , 2017.01,-项目旨在通过提升尾房钟点房的订单量，获得生意的增长。-项目成果：-截止1月尾房酒店覆盖数量达到21000家，钟点房酒店覆盖数量达到35000家，1月尾房订单占比5.89%，相比10月提升1.94%，钟点房订单量突破2000单／天，相比6月提升185%。-项目推进：-- SKU：通过新签、酒店自主设置、Q分销接入等多种途径提升SKU数量；-流量导入：推动前端产品对钟点房模块的排期，酒店平台与CQ沟通尾房互分销的排期；-活动运营：通过APP首页banner资源和酒店置换尾房产品；并撰写多篇微信图文推广；-数据监控：搭建订单报表模板，并通过access工具分析监控新采购产品底价质量。---;},{思维导图（mindmanager),精通;流程图（Processon),精通;微信115编辑器,精通;Office软件,专家;英语,精通;},{}
d2f39e1662365d4bc42475843e2b0876, 5年人力资源工作经验，熟悉人力资源全流程，熟悉互联网各岗位 -                                    ,男,,本科, 爱乐奇-                                -                                                                                                            ,-                                    hrbp ,6年工作经验,上海,,人力资源,全职,上海,10k,15k,,,,{ 工作经历 :艺康中国投资公司,2010.06 , 2011.10,Management Trainee,-有害生物防治部 管理培训生丨汇报对象：District Manager丨下属人数：2人 丨工作地点：苏州/上海工作职责： 为苏州市区域酒店、餐厅、超市、工厂提供全方位虫害风险控制服务--;上海优克锡企业管理顾问有限公司,2012.02 , 2015.03,HR&branch manager,-成立于1999年，为500强客户提供猎头招聘和校园招聘服务。HRBP&BranchManager2013.10－至今职位类别：人力资源丨汇报对象：运营总监&总经理丨下属：7-15人工作职责：招聘和发展新的猎头团队，负责新顾问沟通和寻访培训，为客户公司提供猎头和校招服务。--;绿叶制药集团,2015.04 , 2017.05,hr,-一年期间负责营运中心职能部门人力资源伙伴工作；-一年半期间负责集团旗下互联网医疗子公司的人力资源全部工作，包括招聘、入离职、绩效、员工关系等。--;爱乐奇,2017.05 , 至今,hrbp,-视频外教HRBP--;},{南京农业大学,本科 , 植物保护,2010年毕业;},{},{},{}
faf079153a704e497db1ec25e7769962, 兵者，无所不用其极 -                                    ,女,25岁,本科, 杭州麦积科技有限公司（HR家）-                            -                                                                            ,-                                运营专员 ,2年工作经验,杭州,-性格外向，善于沟通，擅长组织与控场，执行力强；-有工资制作和数据报表的经验，对数据有敏感度和处理能力；-热情实干、主动沟通、耐心抗压、能运用多种方法解决问题。--,运营专员,全职,杭州,5k,10k,,,,{ 工作经历 :浙江今明教育集团,2015.06 , 2016.03,劳资关系处主管,-1.报表制作：对接财务部，管理员工日常考勤，制作每月公司300多人的考勤、工资、绩效等报表；-2.绩效和年终考评：负责制定营销部门绩效工资，年终进行考勤分析和工作汇报。-3.校园招聘：南京区校园招聘，面试80多人，最终录用15人；-4.入职、离职：负责员工入职、离职手续办理，入职培训安排以及跟进员工转正办理等；-5.社保、档案：对接各地社保局，申报年均工资，办理社保增减、异地转入转出、生育津贴、失业金等，建立并管理全公司职工电子档案，负责纸质档案整理归档。-6.文件起草发布：跟进会议，整理会议纪要，起草人力资源相关文件。--;杭州麦积科技有限公司（HR家）,2016.03 , 2017.03,运营专员,-1.用户运营-工作业绩：-客服号日常维护用户6000+人，其中微信好友3000+，社群23个，400人以上社群8个。-工作内容：-①建立客服号，通过各群、脉脉、豆瓣、活动等渠道积累用户-②以点对点沟通、群发推送、问卷、经营客服朋友圈等形式，拉近用户距离，了解用户对活动主题和web端使用的需求，按时间、功能等整合案例归类处理；-③建立并维护社群，规范群规，将用户按照模块、坐标、行业等分类管理；-④通过问题讨论、红包、早报、送福利、发简历等形式维持群活跃，发布网站端简历等引导注册和付费。--2.活动策划-工作业绩：-策划线上活动10场，线上福利活动22期，线上微课17场，小型线下14次，大型线下活动4期，参与人次达1w+，拉新用户群10个，活动附加收入5w多。-工作内容：-①根据用户阶段工作重点、社群内反馈需求、投票等形式，确定活动主题；策划活动，通过群、朋友圈、微链、活动行等渠道报名拉新，活动现场进行组织与控制；-②通过活动文转发引起群内讨论、线下见面交流，增强与用户的联系，培养用户参加活动的习惯；-③活动变现：端午节、中秋节、春节等节假日开办企业福利采购，活动门票收入等。--3.公众号-工作业绩：-接管后原创率70%，阅读量破千率60%（粉丝共1w+），其中一篇原创阅读量10w+，日均增粉量100个。-工作内容：-根据用户偏好，以干货、资料包、活动报名、互联网HR资讯、节假日福利等内容吸引用户关注，导流到客服号，进而导流到社群。--;},{南京农业大学,本科 , 劳动与社会保障,2015年毕业;},{},{},{http://t.cn/R6GmDLW,10w+文：《延迟退休和五险一金落地杭州，全面新规解读你一定得看》;}
64e509cf9bdc6f004ce2a141ba1e28e5, 主职Java后台写写web页面，偶尔配置服务器环境，基本都干 -                                    ,男,25岁,本科, 南京斯布乔科技公司-                            -                                                                            ,-                                JAVA WEB程序员 ,2年工作经验,无锡,-喜欢技术，喜欢编程。--,JAVA WEB相关,全职,上海,10k,15k,,,,{ 工作经历 :上海捷奥科技有限公司,2015.12 , 2016.07,java开发程序员,-.JAVAWEB开发相关--;南京斯布乔科技公司,2016.09 , 至今,JAVA WEB程序员,-.JAVAWEB开发相关-.做过手机页面-.应用服务器、邮件服务器配置--;},{南京农业大学,本科 , 动物科学,2014年毕业;},{自主回单机项目,服务端、Web端,2015.12 , 2016.07,-.前台:对单系统的前台，应用于回单机，主要面向对公客户ATM操作-.后台:对账系统的后台，应用于柜台，主要面向业务人员--;对账系统,主要负责项目的前台页面功能,2016.02 , 2016.07,-银行月末账户余额校对系统--;蓝信轻应用开发,服务端、手机端H5,2017.01 , 2017.03,-企业内部通讯软件蓝信相应的轻应用开发--;一些项目部分内容,服务端、Web端、手机H5页面,2016.09 , 2017.05,-.南京公证处MOA-.无锡海事(应急搜救系统)-.无锡公安食品项目维护工作--;无锡公安移动办公,服务端、Web端,2016.03 , 至今,-.无锡公安内网手机、Web双向移动办公软件-.邮件服务器搭建-.业务CRUD--;},{},{}
6274619a12a12225c18e388c090cd70c, 三年PC端、移动端产品设计经验，热爱教育 -                                    ,女,27岁,本科, VIPKID-                            -                                                                            ,-                                产品经理 ,3年工作经验,北京,--拥有三年PC端、移动端产品设计、运营工作经验；-能够独立完成产品调研、产品设计、项目跟进、数据分析等工作；-对教育、社交领域兴趣广泛；-熟知网络用户使用习惯，对交互设计、用户体验有一定理解；-熟练运用Axure、Xmind、Visio、Project等产品设计与项目管理工具；-英语熟练。----,产品经理,全职,北京,15k,25k,,,,{ 工作经历 :有缘网,2014.06 , 2015.06,产品专员,-1、有缘网PC端产品设计，包括与用户体验、用户活跃相关的产品设计，每周一次的线上促销活动策划，站内应用等；2、协助产品经理，对线上活跃度指标负责，通过数据报表指导产品不断优化；3、独立完成产品从策划到执行到上线的全过程，并对结果负责；4、与团队一起，完成有缘网用户大数据分析。--;北京优装网信息科技有限公司,2015.06 , 2016.10,移动产品经理,-1、负责移动端（官方m站和app）需求收集，梳理并分析评估，产品定位2、进行竞品分析，梳理产品功能，评估优先级3、原型图、需求文档的撰写；4、负责与技术研发、运营团队紧密配合，推进产品研发进度，持续改善产品5、协助测试团队进行产品测试、保证产品质量6、上线培训、数据分析、产品迭代--;VIPKID,2016.11 , 2017.06,产品经理,-方向一：课程组（课程和教学效果）1、与教研部门对接，进行需求收集、梳理和分析；2、业务流程与功能流程的设计、原型图的输出、产品文档的输出与撰写3、负责与技术研发团队紧密配合，推进产品研发进度，持续改善产品4、协助测试团队进行产品测试、保证产品质量方向二：负责WowSch子品牌的系列产品（H5站的前后台、直播APP）1、与社群拓展部门对接，进行需求收集、梳理和分析；2、业务流程与功能流程的设计、原型图的输出、产品文档的输出与撰写3、负责与技术研发、运营团队紧密配合，推进产品研发进度4、协助测试团队进行产品测试、保证产品质量5、数据分析和产品迭代--;},{南京农业大学,本科 , 计算机科学与技术,2014年毕业;},{优装美家官方M站和APP,产品经理,2015.08 , 2016.10,-APP：AppStore搜索“优装美家”M站作用：支撑微信、微博、头条、Zaker、智慧推等运营渠道活动的推广和微信公众号/微博轻应用的运营。功能：①前台：品宣，报名入口，精品案例频道、口碑公司频道、管家日志频道以及个人中心②后台：CMS（活动营销模板、案例、专题的管理）--成绩：M站从0到1，当时近迭代到v2.1。APP在AppStore上架的最新版本为v1.0.1。M站单日的UV近5w。--;VIPKID·课程和教学效果相关项目,产品经理,2016.11 , 2017.06,-1、学生学习数据Dashboard后台可视化查询学生的学习数据以及课程的完成/正确率等。负责：根据学习数据设计考察指标，梳理需求，生成需求文档，提交给BI。2、在线教室的优化由原先的静态课件升级为互动式课件，1对1教室拓展增加1对多教室。负责：产品调研、用户测试、优化、适配工作。3、新旧主修课切课将旧主修课上的学生迁移到新主修课。负责：切课策略上的产品设计、切课效果的每日数据日报监测。--;VIPKID·WowSch系列产品,产品经理,2017.01 , 2017.06,-定位：WowSch为VIPKID旗下子品牌，幼儿英语启蒙。目标：基于微信环境的社区运营，给VIPKID输入高质量的leads，探索新的内容变现方法。·H5系列产品。主要负责：需求分析、前后台产品设计、常规项目跟进、发布上线、数据分析、产品迭代。（URL需要在微信环境下打开）1、OnlineLibraryURL：http://www.wowsch.com/library功能：书架、自动手动播放单本书、录制有声书、会员续期、消息提醒。现状：会员总数20w+，日均PV1w，UV4k。迭代两个版本。2、1000本书URL：http://www.wowsch.com/thousandbook功能：英文故事播放器、设置挑战计划、挑战记录、勋章和排行榜现状：会员总数3w,日均PV6k，UV2k。上线后bug优化一次。3、自然拼读URL：http://www.wowsch.com/phonics功能：解锁学习课程、分享学习报告、课程习题模板（偏H5游戏化学习）现状：会员总数2w,日均PV1k，UV3k。上线后bug优化一次。·APP产品：直播app安卓市场或APPStore搜索：哇校英语直播功能：直播课堂的创建发布、直播教室+习题白板（单选题、单词卡、投票器）、爱心的获取和赠送。负责：APP前台产品设计、用户测试、常规项目跟进、应用商店发版。--;VIPKID·绘本资源管理后台,产品经理,2017.04 , 2017.06,-作用：支持教研管理绘本资源，向PC和iPad的学习中心的绘本展示提供内容。功能：1.绘本资源的管理（新增、修改、查询、打标签、版本控制、库存管理）2.在Curriculum后台新增绑定绘本功能，控制绘本的发布3.数据统计（阅读点击量、阅读人数、借阅次数、借阅人数等）--成绩：从0到1，迭代三版。日均阅读点击量约1w。--;},{ps,熟悉;project,熟悉;visio,掌握;xmind,掌握;Axure,掌握;},{}
0c4ca93ab801c3804469478d2ef9aff7,,男,,本科,,,2年工作经验,北京,-1、有商户和商品管理经验；-2、工作耐心，善于把控细节和发掘合作需求。-3、有创新能力，可以与制作团队协作完善产品效果。----,产品运营,用户运营,全职,北京,5k,10k,,,,{ 工作经历 :北京保德威服饰有限公司,2015.07 , 2016.03,职员,-公司描述：克莱斯勒-JEEP服装产品线大中华区运营。-工作概要：1.负责JEEP等品牌在北京、天津、沈阳、济南、青岛、太原奥特莱斯店的管理。2.分析销售数据，进行销售指导。根据不同区域的销售特点及不同店面的销售情况，针对性制作销售方案。3.指导各区域判断市场预期，确定货品投放，敦促各店完成销售指标。4.同时从事ERP系统操作，分析销售走势，制定各品牌销售方案，落实货品到位。5.在新开店铺规划中，进行商圈定位分析，确定货品铺货量及价格区带，约束货品，达成该店预期动销比率。--;上海戏说信息科技有限公司,2016.04 , 2017.04,运营,-公司描述：提供短视频制作服务和产品分销渠道服务--工作概要：-1.从初创时期加入“新品有戏”短视频平台，规划和施行发展计划，团队同年拿到天使轮投资。 -2.选品及发展合作。-深度挖掘京东淘宝平台及竞品APP所包含的消费产品。收录其中的产品及品牌，作为新品有戏的目标客户。-3.合作维护和拓展。-与目标客户建立合作关系，并做日常交流维护。在交流过程中标记客户特点、记录诉求，针对性提出合作策划。寻找和对接平台资源，为短视频广告合作分发和产品分销做渠道储备。对接线下资源，如民宿、酒吧、产品体验店等。为合作品牌拓展线下体验渠道。-4.产品运营（APP、微信小程序）。-提出APP及小程序的体验改优化建议，维护平台中合作品牌的产品展示。运作小程序商城，根据不同产品的特性，向制作团队提出图文宣传建议。负责商城中所有产品的上架、订单维护和商户对接。-5.短视频方案负责。-提炼合作方的视频宣传需求，策划短视频拍摄方案。并在视频制作过程中担任对接工作。--个人工作成果：-1.使新品有戏入驻京东服务商联盟，并成为京东商城“短视频广告宣传模块”指定合作方。-2.与网易严选达成分销和宣传合作。新品有戏可以销售网易严选产品，并做视频联合宣传。-3.与联合利华达成视频合作意向，由新品有戏负责其网上商城的视频化工作。-4.与麦极网达成长期合作意向，为其引进的海外产品做首发宣传。-5.得到NUMS、吻吻鱼、tinylogics等品牌的首发和独家权。其中与tinylogics的合作产品被CCTV报道。-6.与喜马拉雅合作Luna产品的宣传。并达成长期合作意向。-7.在回龙观腾讯众创建立线下体验区。-8.运营微信小程序，提供用户操作体验和视觉排版的优化建议，并管理全部入驻商户。--;},{南京农业大学,本科 , 交通运输,2015年毕业;},{},{Visio,了解;photoshop,熟悉;office,掌握;英语,掌握;日语,了解;},{}
bcc146e26bd745591c80107bd4c1922e, 善于规划，思维开阔，有编程经验，喜欢琢磨行为本质，热爱产品 -                                    ,男,,本科, 京颐股份-                                -                                                                                                            ,-                                    产品经理 ,1年工作经验,南京,,产品类岗位,全职,杭州,5k,10k,,,,{ 工作经历 :京颐股份,2015.07 , 2015.08,产品经理,-公司主要业务方向为Android开发，我参与到其中蓝牙模块，WiFi模块的代码维护，并完成一系列的测试工作。期间有参与过几次项目例会，最大的收获是对开发人员，测试人员，PM的工作有了更清晰的认识。因为我个人的性格和爱好，我对自己的职业规划是要朝产品经理方向发展，当初过来实习的目的是能够对项目的流程有具体的把握，对PM的日常工作有更多的了解，这次实习更坚定了我对自己的规划。在完成日常分配给我任务的同时，我也在积极地争取机会去更多了解项目的细节，与更多的同事交流。--;},{南京农业大学,本科 , 自动化,2016年毕业;},{},{Photoshop,熟悉;axure,了解;MindManager,熟悉;WPS,掌握;C++开发,掌握;},{http://pan.baidu.com/s/1qW7WhdU,;}
4388ce2c9c28629083b87e41bc027a3e,,男,33岁,本科, 用友网络科技股份有限公司-                            -                                                                            ,-                                项目经理 ,8年工作经验,北京,,项目经理,全职,北京,15k,25k,-------,,,{ 工作经历 :中国钢研集团,2009.08 , 2012.04,ERP顾问,-负责钢研集团供应链项目的实施工作--;用友网络科技股份有限公司,2012.04 , 至今,项目经理,-负责中纺集团、北汽集团、国家电网、鹏峰汽车、中国大冢制药、鱼酷餐饮集团等ERP项目需求调研、产品规划、系统测试实施、沟通协调、日常管理等工作。目前担任中国大冢制药项目和鱼酷餐饮集团项目的项目经理。--;},{南京农业大学,本科 , 工业工程,2009年毕业;},{中纺集团信息化项目,项目经理,2012.06 , 2013.07,-中纺工贸有限公司是中纺集团二级子集团，下面下辖5家子公司，中纺工贸总部实施NC5财务模块，下面的5家子公司实施U8财务、供应链、生产和成本。-负责该项目日常管理、需求调研、产品规划、项目实施、沟通协调等工作。--;北汽集团财务信息化项目,实施顾问,2013.03 , 2013.08,-北汽控股财务信息化项目涉及多个网省100多家企业，主要实施北汽集团旗下兴东方实业和海纳川子集团NC财务部分（总账、固定资产、企业报表）。-主要负责北汽兴东方子集团九家子公司NC总账、固定资产、企业报表的需求调研、项目实施、关键用户培训等工作。--;国家电网集体企业信息化项目,子项目经理,2013.09 , 2015.06,-国家电网集体企业业务应用平台项目涵盖27个网省5000多家企业，项目一期试点单位涵盖9个网省500多家企业，实施的NC6产品包括大财务（财务会计、报表、全面预算、资金管理）、综合（项目管理、协同办公）、人力资源。-售前工作：负责供应链、电子采购模块演示环境搭建、业务解决方案的编写及后续产品解决方案的PPT讲解。-子项目经理工作：负责国网NC系统财务部分需求调研分析将需求和产品进行匹配，根据需求分析编写业务解决方案并对方案进行测试和不断优化，对项目关键用户进行培训；跟踪NC系统出现的bug问题，及时对接集团开发人员快速解决NC系统问题；协助项目经理建立项目管理体系（问题管理、需求变更管理、项目人员管理、项目监控和绩效考核）；跟踪项目进度保证项目上线时间。--;中国大冢信息化项目,项目经理,2015.07 , 2016.07,-中国大冢制药信息化项目涉及中国大冢、大连大冢、广东大冢三家公司，主要包括NC系统与WMS经营系统接口开发、NC系统财务、供应链、产品成本实施等内容。主要负责中国大冢三家公司业务需求调研，编写业务解决方案，项目实施等工作，每周和客户组织项目定期例会对项目中出现的问题进行沟通解决，并制定下周详细工作计划，协助开发团队对接口开发进行需求调研和测试。--;水务集团,项目经理,2016.05 , 2016.11,-天津水务集团有限公司是2015年底成立的集团公司，所属公司包含自来水集团、管道集团、水投集团等100多家分子公司。因集团需要对所属公司的财务、资金、预算进行集中管控，今年八月份集团开始信息化建设便于集团的管理和资金的调配。负责该信息化项目的全面预算项目实施工作，对水务集团所属公司进行调研规划水务集团财务管控、资金管理、全面预算业务流程，最终形成水务集团信息化解决方案，推进项目上线及问题的解决。--;},{PMP证书,掌握;计算机三级,掌握;英语六级,掌握;},{}
56fc89874647e570e77b3bedc84773d3, 态度决定成败，细节决定一切。 -                                    ,男,27岁,本科, 上海卓易科技股份有限公司-                            -                                                                            ,-                                运营专员 ,4年工作经验,上海,,商务、运营职位,全职,上海,10k,15k,,,,{ 工作经历 :南京易联电商软件技术有限公司（阿里巴巴南京销售渠道）,2013.07 , 2013.12,销售代表,-1、毕业后南京地区做阿里巴巴网的《诚信通》增值业务的销售工作。-2、首月卖出6份，获得南京地区Top1的成绩，且在江苏地区名列前茅。---;炫彩互动网络科技有限公司,2013.12 , 2015.07,渠道合作商务,-1、负责CP接入电信外放SDK的相关业务支撑：-有对接过三百余家CP的经验，解答并处理CP在接入电信外放平台及渠道推广过程中的问题，以确保产品在各个渠道顺利上线和SDK正常运行。负责产品上线前的审核以及上线后的数据分析等。-2、参与电信OPEN平台（面向开发者以及渠道平台）的产品需求。完成了一系列的例如平台迭代整理汇总，用户意见收集，平台开发者手册撰写的工作等。-3、参与了投诉超标产品的跟踪处理，包括对投诉较高产品的CP进行通知并提出优化意见。-4、参与了新接入游戏的评级工作,有参与评级上百款产品的经验。---;上海时光科技股份有限公司,2015.08 , 2016.01,渠道商务,-1、 主要负责《街机千炮捕鱼系列》产品对接四大运营商（移动基地，移动MM，电信爱游戏，联通沃商店）的工作，包括：各省份投诉指标追踪、相关政策或业务的申报及跟进等。-2、 《街机千炮捕鱼系列》产品在各渠道的对接及维护。对接渠道包括魅族，斯凯，酷派，卓易，乐视，4399，7k7k等共计近30家渠道。内容包括游戏内活动（包括版本更新或节假日福利等）的资源位申请。另处理了5家左右的线上或线下渠道的引进。---;上海卓易科技股份有限公司,2016.03 , 至今,运营专员,-1、负责卓易市场活动专题搭建。共上线40+专题。专题内容包括各式游戏、应用、活动预约等，并做相关专题数据分析以调整专题运营模式。-2、负责卓易市场联运网游。处理约30余家CP的对接工作。日常工作包括：运营对接（产品上下线跟进），活动需求配置（礼包，宣传图，文案，PUSH等），并做相关数据分析。-3、联运开发者平台使用功能更新及跟进工作：-（1）收集开发者用户相关意见-（2）提出平台功能更新优化提出解决方案-（3）协调技术部、运营部等部门完成平台功能更新及BUG修复。-4、卓易市场《一元夺宝》产品的项目参与。包括一元夺宝APP产品优化需求及完善BUG，用户画像数据分析，夺宝产品选择，PUSHAPP的推广内容等。-5、产品测试及反馈。包括新游上线DEMO评级、产品更新测试等。-6、对接移动咪咕动漫及电信爱动漫等运营商，完成公司SP收入的相关工作。---;},{南京农业大学,本科 , 工业设计,2013年毕业;},{},{},{}
