d4f71455a45977fef3679536b61694ae, 坦然面对生活，做事力求极致 -                                    ,男,28岁,本科, 百度-                            -                                                                            ,-                                活动运营经理 ,4年工作经验,北京,-1、有较好的亲和力、语言表达能力和沟通能力，擅于处理各种人际关系；-2、充分利用资源，有较好的时间管理及抗压能力；-3、熟悉互联网行业、传统媒体、新媒体渠道，了解互联网的传播规则；-4、具有较高的创造力，善于借势营销，制作出基于品牌与产品的创意内容；-5、工作踏实认真，积极主动，具有很强的抗压力，具备高度的责任心与敬业精神；-6、具有较强的敬业精神和团队合作精神；--,活动运营,全职,北京,10k,15k,,,,{ 工作经历 :拉手网,2013.08 , 2014.04,审核主管,-1、根据公司审核标准对团购项目进行审核稽查，确保上线产品的合法性和正确性； 2、根据商家的需求，指导完成团购页面的编辑和修改； 3、定期整理工作问题，及时提出优化意见； 4、完成团购单数量，购买量数据的收集整理分析工作； 5、根据公司要求抽查上线产品内容严格把控准确性，美观性，提升团购产品页面质量； 6、市场分析,竞争对手产品分析,产品体验规划与运营； 7、完成领导交付的其它任务； 其它工作 1、负责网站每日团购项目文案页面的撰写指导，把握团购产品页面布局的一致 性； 2、专注细节，反复校正，已确保页面正确性；--;百度,2014.04 , 2015.05,文案编辑,-工作描述：-1、根据商家的需求，完成团购页面的编辑和修改； -2、定期整理工作问题，及时提出优化意见； -3、完成团购单数量，购买量基础数据的收集并做部分调整进行整理分析工作； -4、根据公司要求检查上线产品内容严格把控准确性，美观性，提升团购产品页面质量； -5、市场分析,竞争对手产品分析,产品体验规划与运营； -6、完成领导交付的其它任务； -7、掌握网络编辑工作相关软件，如photoshop等； -其它工作 -1、负责网站每日团购项目文案页面的撰写，把握团购产品页面布局的一致性； -2、专注细节，反复校正，已确保页面正确性；--;百度,2015.05 , 至今,活动运营经理,-工作描述：-1.负责教育事业部项目方案的制定、开展和执行，根据项目需求，制定有创意的运营方案，负责线上线下活动的协调与实施； -2.负责教育事业部校园线下团队人员管理、人员招聘、维护等；-3.负责企业与全国各个高校的沟通对接，校园活动的洽谈合作以及执行；-4.不定期组织开展全国校园线下沙龙、讲座、直播、路演等活动；-5.负责各项目所需物料准备、制作、各部门协调； -6.负责产品品牌推广、联合合作沟通对接；-7.负责新媒体创意构思、品牌传播文案撰写等；-工作业绩-开展春季、秋季开学季项目，引发全国千所高校学习热潮，线下开展全国10座城市，30所高校活动，引发近30+w学生驻足围观，影响近百万学子，线上同时联合百度糯米、百度文库、百度阅读、百度地图等产品短期累计完成超80w+学习人次；-通过”周末充电趴“线上专题项目，充分调动学生周末学习热情积极性，仅每周末上线两天，栏目专题DAU，相比普通专题平均水平提升45%；-发起多场线下公益巡回演讲活动，引入大咖讲座全程直播，倡导线下活动“线上迁移”多屏互动模式，有效拉近彼此间距离，相比较普通线下拉新方式提升了5倍；-春节后学习低迷期，发起学力大比拼线上专题活动，基于人传人，人拉人的模式，以传课奖学、百度实习机会为噱头，引发病毒式营销传播，短期聚焦高校用户，有效提升用户拉新相比普通模式提升了4倍，日均提升学习人次8w+--;},{北京工业大学,本科 , 工商管理,2015年毕业;},{},{},{}
dc66eeb6f7b439b09cd726a7b9ff3c69,,男,32岁,硕士, 易到用车-                            -                                                                            ,-                                高级数据产品经理 ,6年工作经验,北京,-◆良好的表达能力，大学英语水平：六级-◆熟练使用AxureRP、Visio、Mindmanager等软件，独立完成DEMO的制作-◆熟练应用office办公软件、SPSS数据分析软件-◆有JAVA语言基础，能进行简单编程，了解HTML、CSS、JAVASCRIPT、J2EE等相关技术，熟悉ORACLE，SQLSERVER等数据库-◆掌握Python，能编写简单的脚本语言进行数据处理及分析-◆了解基本的大数据分析和算法，分类（决策树、朴素贝叶斯、随机森林）、聚类（k-means、层次聚类）、回归分析、及神经网络等-◆了解Hadoop大数据架构，有大数据项目经验，涉及组件有HDFS、MapReduce、Spark、Hive、Impla、Kafka、ElasticSearch、Flume等-◆具有PMP证书---,产品经理,全职,北京,25k,50k,,,,{ 工作经历 :北京时代凌宇科技股份有限公司,2012.02 , 2015.05,项目经理,-◆在项目执行过程中，负责与客户、项目监理、合作伙伴、公司内部等相关部门沟通合作，积极做好相关组织、协调、管理工作；相关程序的系统设计、开发、测试、维护、升级等工作的安排规划，风险控制，确保项目完成的进度和质量-◆带领团队开发和实施软件项目，根据公司规范对项目进行管理，建立和管理项目文档，参与项目售前工作，与客户交流，提供顾问服务，充分理解客户需求，编写项目方案 -◆在项目执行过程中，负责与客户、项目监理、合作伙伴、公司内部等相关部门沟通合作，积极做好相关组织、协调、管理工作；相关程序的系统设计、开发、测试、维护、升级等工作的安排规划，风险控制，确保项目完成的进度和质量--;北京海鑫科金高科技股份有限公司,2015.05 , 2016.08,产品经理,-◆负责大数据应用产品前期的市场定位、产品规划、需求分析工作； -◆负责大数据应用产品的策划、技术选型、负责编写产品需求文档，包括业务流程和结构、界面原型Demo和页面要素描述 -◆对接UI设计、前后端开发，跟进产品开发过程 -◆产品开发完成后负责验收，与市场部、销售部一起进行产品的上市推广、版本升级和生命周期管理；-◆负责产品部知识总结、积累和转移，对其他部门进行有关业务培训--;深度数据（大数据金融风控）,2016.09 , 2017.02,数据产品经理,-◆负责大数据产品（风控、旅游）的需求沟通、需求分析、产品文档撰写、原型设计等，详细阐述产品功能和操作流程-◆梳理产品涉及的数据，包含来自财经网站、微博、微信、公检法等与企业相关的数据，设计企业画像系统，支持风控及旅游大数据平台的业务-◆负责相关产品排期，对接UI设计、前后端开发，跟进产品开发过程-◆负责产品测试、上线及相应操作说明文档编写---;易到用车,2017.03 , 至今,高级数据产品经理,-◆负责大数据中心大数据应用产品规划工作，如数据管理平台（DMP）、BI ◆负责搭建数据体系，并完成大数据应用产品的策划、原型、产品流程和交互设计，包括数据采集、数据平台、数据可视化等 ◆在产品端进行数据定义、埋点，并推进技术实现；负责产品日志数据的提取、统计与管理 ◆根据业务需求，研究用户属性、行为和规律，并设计开发用户画像产品、个性化推荐系统 ◆建设A/BTest分析平台，用于产品优化及运营策略分析 ◆跟进业务、产品相关数据的研发、测试及上线--;},{南昌航空大学,本科 , 信息管理与信息系统,2009年毕业;北京工业大学,硕士 , 管理科学与工程（信息管理）,2012年毕业;},{亦庄经济开发区图像信息资源管理平台,软件项目实施顾问,2012.02 , 2012.12,-◆ 项目简介：目前，北京市北京经济技术开发区内已经由各个单位建成了一定数量的图像监控系统，具备了一定的图像信息源。许多重要部位、公共场所、主要道路和一些重要基础设施都安装了图像信息采集设备，其分布已达到一定规模，在提高城市公共事业和社会治安动态管理方面发挥了积极作用，在本项目中，将实现路东区和河西区两个节点的图像汇聚，实现核心区的图像信息资源管理平台。 -◆ 项目建设内容：一个图像信息资源管理软件平台，采用Java、J2EE、Oracle数据库等技术进行开发。 -◆ 项目职责：项目实施顾问，在现场负责软件开发和实施工作，管理项目外包人员，敦促其按时按量完成进度，定期与甲方进行沟通，负责建立和管理项目文档。 -◆ 项目业绩：项目已经顺利通过终验。--;北京市城市生命线实时监测物联网应用示范工程,软件项目经理,2013.02 , 2015.05,-◆项目简介：北京市城市安全运行和应急管理物联网13个应用示范工程之一，重点围绕城市安全运行所涉及的供水、排水、电力、燃气和热力等“城市生命线”系统开展示范应用，应用物联网技术实时掌握上述五大集团（市自来水集团、市排水集团、市电力公司、市燃气集团、市热力集团）资源的计划、调度、存量需求等运行信息，经过分析和综合展现，为市领导及时准确掌握“城市生命线”整体运行情况提供有效服务，并为相关单位提供“城市生命线”突发事件的预警信息，提高“城市生命线”安全运行管理水平。◆项目建设内容：一个市级平台软件系统和五个专业软件子系统，采用Java、J2EE、Oracle数据库等技术进行开发。◆项目职责：项目前期主要担任燃气行业子项目经理，负责燃气行业软件系统的开发和实施工作，同时负责协助大项目经理对外协调的工作。项目中期开始负责整个项目组织、协调、管理工作，负责市级平台的开发和实施工作，负责建立和管理项目文档。◆项目业绩：目前项目已经通过了项目初验。--;全国人脸识别工作站,产品经理,2015.06 , 2015.10,-◆产品简介：面向公安、海关、司法、银行等用户，基于“全国公民身份证号码查询服务中心”全国人脸大库，为用户提供高质量的图像处理及人脸识别服务，提高公安用户户籍管理和刑侦、治安办案效率。◆产品功能：全国人脸识别工作站两种产品形态：C/S客户端机APP，C/S客户端采用WPF技术，APP采用Android开发。◆主要职责：负责产品的规划、设计、产品优化工作，制定产品需求计划，进行可行性分析和概要设计，组织和完成产品的原型设计、UI/UE审核、续费设计（套餐包、渠道、营销策略）、网站功能设计，运营管理业务设计等，协调公司各部门，保证产品的研发整体进度。使用的建模工具有：Axure、Visio；产出为产品原型DEMO、UI设计规范、用户需求说明书、产品需求规格说明书等。◆项目业绩：产品顺利完成二期开发，投放市场。--;反电信网络诈骗查控平台,产品经理,2015.09 , 2016.05,-◆产品简介：反电信网络诈骗查控平台用于协助公安人员打击电信诈骗类案件，该平台贯穿对虚假信息诈骗事前、事中、事后全过程管理，集拦截防范、快速处置、研判分析等功能于一体的大数据、高共享的实战应用平台。 -◆产品功能：案件侦办、与各大银行进行数据对接，实时发送账号冻结指令，调取银行交易流水，进行大数据研判分析、绘制资金流向图，辅助资金返还工作，发掘潜在涉案卡。同时与各运营商合作，实时封停涉案电话，并进行拓展分析。该平台采用B/S架构，前端采用Bootstrap框架。- ◆主要职责：负责产品竞品分析、产品规划、需求调研和分析工作，引导用户，收集、整理产品需求，组织业务需求讨论与设计工作，需求分析及UI设计等评审，负责产品落地工作，组织产品研发工作，把控产品研发进度，组织用户培训，跟踪产品上线后的运营及用户反馈情况，进行产品优化和改造等工作；使用的建模工具有：Axure、Visio；产出为产品原型DEMO、UI设计规范、用户需求说明书、软件需求规格说明书等。 -◆工作业绩：产品顺利完成一期研发工作，已经投入市场。--;电信诈骗舆情大数据分析系统,产品经理,2016.04 , 2016.08,-◆产品简介：电信诈骗舆情大数据分析系统是一个高度集成的专业化数据检索和分析系统，专注于和电信诈骗犯罪相关的互联网信息采集，结合大数据分析和机器学习的技术，实现对电信诈骗作案手段及案件类型的分析及归纳、对受害人进行画像，实现各种纬度的细分，为下一步的案件侦破及给案件防范宣传工作提供支撑。同时，系统根据受害人画像，自动给一些易受骗人群发送电信诈骗的预警信息及防范措施。 -◆产品功能：总体上包括互联网信息采集功能、信息处理功能、舆情分析功能、舆情展示,预警机制功能五个核心功能。从互联网采集新闻、论坛、博客、微博、平面媒体、微博，微信等舆情信息，并存储到舆情数据库中，并通过舆情搜索引擎对海量的舆情数据进行实时索引。对采集的数据进行智能筛选，萃取准确的舆情信息。该平台采用B/S架构，采用Hadoop大数据架构，采用MapReduce和Spark进行大数据分析，采用ElasticSearch（ES）作为存储和全文检索工具。- ◆主要职责：负责产品竞品分析及可行性分析、产品立项、产品规划、需求调研和分析工作，组织业务需求讨论与设计工作，组织产品规划，需求分析及UI设计等评审，负责产品落地工作，组织产品研发工作，组织用户培训，跟踪产品上线后的运营及用户反馈情况，进行产品优化和改造等工作；使用的建模工具有：Axure、Visio；产出为产品原型DEMO、UI设计规范、产品规划、软件需求规格说明书等。- ◆工作业绩：产品顺利完成一期研发工作，已经投入市场。--;互联网大数据风控平台,产品经理,2016.09 , 2017.02,-◆产品简介：平台面向银行风险管理等业务部门提供基于大数据的风险管理信息应用服务,为业务人员提供贷前风险信息查询、贷中风险监控功能；整个系统通过四种展示方式和用户完成交互、包括大屏展示、风险监测分析平台及大数据推送服务平台；在应用层提供数据采集、风险识别及预警、风险分析、风险处置、风险评估等主题应用服务；在支撑层采用大数据技术构建大数据基础平台为整个系统提供基础技术支撑平台；在资源层构建包括：风险管理业务基础核心大数据、互联网信息风险大数据资源库，其中风险管理业务基础核心大数据来源于银行系统建设形成风险管理数据库，互联网信息风险大数据资源库来源于互联网，将互联网中的新闻媒体、社交网络、音视频等信息通过大数据采集、过滤技术形成和银行发展相关的风险信息数据库-◆产品功能：平台面向银行风险管理等业务部门提供基于大数据的风险管理信息应用服务--在来源层实时监控并获取各个来源渠道的最新数据，包括新闻媒体、社交媒体、工商税务信息、法院黑名单、其他国家机关公布的诚信相关数据等(网络爬虫+flume+kafka)-在数据中心为系统提供互联网数据采集、数据网关服务、大数据管理系统、数据智能挖掘模块、云资源管理等支持(Hadoop+storm/spark+ElasticSearch+Redis)-在应用层提供金融搜索、风控平台、移动客户端、大屏展示等主题应用服务；包含贷前风险分析（企业基本信息、风险值）、贷后分析分析、宏观分析、热点事件分析及检索与数据应用等功能--◆主要职责：负责产品立项、产品规划、需求调研和分析工作，组织业务需求讨论与设计工作，组织产品规划，需求分析及UI设计等评审，负责产品落地工作，组织产品研发工作；使用的建模工具有：Axure、Visio；PRD、产出为产品原型DEMO、UI设计规范等-◆工作业绩：产品已投入市场，目前在西部某银行已落地---;大数据管理平台(DMP),高级数据产品经理,2017.03 , 2017.06,-◆产品介绍：易到大数据管理平台是在开源技术的基础上，集合企业自身业务需求，实现从数据采集、存储、处理到分析应用的一体化数据应用和管理平台。平台支持对多源异构的海量数据的高效采集，满足结构化、非结构化数据多种数据存储策略，实现数据的高效分布式并行处理；有效集成Hive、Spark、Storm、Mahout、RapidMiner等开源分析工具，实现对海量数据的深层挖掘分析，为上层的数据应用（BI，用户画像、个性化推荐、风控系统等）提供丰富的分析手段。平台还提供对采集、存储、处理和分析等核心过程的自动化调度机制，使分析过程更具智能化，使企业能从海量数据中挖掘出有效的信息，获得更好的商业价值。-◆产品功能：功能包含数据接入、数据存储、数据分析和平台管理四个层面--数据接入：数据包含日志及业务系统数据，日志采用Kafka形式接入Hive，业务系统数据(Oracle)采用Sqoop接入Hive-数据存储：从Kafka接入的数据需要经过ETL工具清洗后，存入Hadoop中，按主题建立Hive，或者存入Hbase中（风控需求）-数据分析：利用分布式存储和并行计算框架，结合多种分布式计算引擎，对各类结构化、半结构化及非结构化的信息资源进行快速的分布式计算、并提供基于关联、聚类、分类、预测等类算法库以及可视化组件、拖拽式的数据挖掘分析开发工具包-平台管理：提供对采集、存储、处理和分析等核心过程的自动化调度机制，使分析过程更具智能化，可视化--◆ 产品进展：产品按迭代式方式开发，目前已具备以下功能：--数据自动化接入及解析功能（支撑各类日志格式接入及解析）-提供Hive数据分析工具，且支持可视化建立hive表-支持自动化任务调度功能，采用Azkban，支持可视化配置各种计算流程---;},{},{,;,;}
249c4af043aec23d132d441d0cb91eef, “211”计院毕业、专注coding、基础扎实、渴望机会 -                                    ,男,24岁,本科, 北京工业大学-                             -                                                                            ,-                                信息安全 ,2年工作经验,北京,--典型的金牛座性格，韧性足，敢于坚持，耐得住寂寞。-善于总结与思考，与博相比更偏向于专。----毕业之后做过一段时间的售前工程师，工作性质偏重于商务，与个人性格不符，目前想从事纯技术，编程方向。----,c++开发工程师,全职,北京,5k,10k,----愿从实习生开始，接受低薪。---,,,{ 工作经历 :北京星网锐捷网络技术有限公司,2015.07 , 2016.10,售前工程师,--为客户讲解网络方案-为渠道解答网络相关技术问题-规划设计客户网络方案-为渠道培训网络和产品相关知识----;},{北京工业大学,本科 , 信息安全,2015年毕业;},{},{操作系统,精通;基本算法,掌握;数据结构,掌握;计算机网络,掌握;c++编程,掌握;},{http://t.cn/RSxi6YB,这个是我自己对于一些经典数据结构和算法的编程练习，其中还有我对原有解题方式的改进，如练习60-n个骰子点数-解法二，在时间复杂度和空间复杂度上比原有解法更优化。;}
317eae7c28bfbb27d7ac2f5158c0ef35, 爬虫工程师 -                                    ,男,33岁,硕士, 京东商城-                            -                                                                            ,-                                研发工程师 ,8年工作经验,杭州,,总监及以上职位,全职,杭州,,,,,,{ 工作经历 :凡客诚品,2009.08 , 2010.06,架构师,-凡客缓存框架-设计并实现一套支持进程内cache及外部cache（memcache）透明切换，并可设置缓存片区的底层公用组件，以降低数据库的IO负载，具体应用了Spring.net+Threadpool等.Net相关技术--凡客搜索引擎-设计并部分参与实现一套架构上类似ApacheSolr的.Net版本的搜索引擎，解决原先应用SQLServer2005全文索引对数据库负载过高的问题，具体应用了WindowsRsync+WindowService+Remoting+Lucene.Net--凡客推荐系统-3)根据用户的浏览、购买等行为，为用户进行个性化的产品推荐，进行关联销售以增加客单价。具体是应用Python分析近三个月的用户日志及购买收藏等行为记录，应用AmazonItem-Based协同过滤算法，在Redis中构建一个300万的User-Product矩阵进行离线计算,并将计算结果供线上应用使用--;义乌给力电子商务有限公司,2010.08 , 2011.11,创办人,-义乌小额批发搜索引擎-将义乌众多的小额批发电商的产品、图片、价格进行抽取,构建小额批发搜索引擎为淘宝卖家提供比价搜索(B2B)。具体实现是应用了ApacheSolr作为后端的搜索引擎，前端应用Nginx+Gevent+Bottle进行前端展现，应用PythonNon-blocking进行高性能的爬虫抓取，使用Supervisor作脚本监管，以及Fabric进行应用部署---给力百货B2C商城及团购站-模仿趣玩，利用义乌货源价格优势，以低价销售创意实用的小商品，集成支付宝即时到账及盛付通网银直连接口，实现积分、团购、优惠券等B2C全栈功能。应用RubyonRails进行敏捷开发，具体使用了Nginx+Passenger+Ruby1.9.2-p180+RVM+MySQL5.1+UbuntuserverLTS10.04+Capistrano等技术--;京东商城,2012.01 , 2015.03,研发工程师,-京东比价系统（爬虫&搜索)-为采销人员定价、品类扩张提供决策支持-主要技术：-Java、Groovy、Spring、MyBatis、ActiveMQ、Redis、Python、fabric、MySQL-主要工作：-利用正则、XPath、JavaScriptEngine对淘宝、当当、卓越等站点进行价格、品类、销量信息抽取，制定竞争策略利用fabric自动化部署爬虫至多个机房多个节点---京东OneBox(Query改写)-意图识别，分析用户Query,将符合特定范式的Query流量导向垂直站-主要技术：-C++、Thrift、CMake、Python、Hive-主要工作：-撰写具体的垂直站Parser(如酒店、团购、景点等）从日志、商品信息中提取特征及热词数据作为命中垂直站提供数据支撑--京东无结果划词Server-对搜索无结果的词，如“诺基亚035手机”,划去部分片断，如“诺基亚035手机”返回剩余关键词相关的商品-主要技术：C++、Thrift、CMake、Python、Hive---京东同义词挖掘及审核系统-从相关搜索中挖掘出一批潜在的同义词，供人工审核使用，用于电商搜索提升召回率-主要技术：-Python、Djangoorm、Redis、bottle---京东数据盛典搜索风向标-2012年按月度分析搜索的上升最快的热词,2012年按品类分析搜索的top热词-主要技术：-Hive、Python--;},{嘉兴学院,本科 , 机械设计制造及其自动化,2006年毕业;北京工业大学,硕士 , 软件工程,2009年毕业;},{},{},{}
78241f7d4800d15375223de14db33f4f, 百万级移动产品经验，互联网医疗行业经历，管理过70人以上团队 -                                    ,男,40岁,硕士, 北京好欣晴移动医疗科技有限公司-                            -                                                                            ,-                                产品总监 ,10年以上工作经验,北京,,产品总监,全职,北京,25k,50k,,,,{ 工作经历 :恒江联盟（医疗服务）,2011.01 , 2011.12,产品总监,-1、规划医院内的陪诊服务产品。-2、设计线上ToB分销系统。-3、管理产品团队。--;去哪儿网,2014.01 , 2015.02,高级产品经理,-门票事业部C端活动产品，及面向B端的广告竞价系统。--;网票网,2015.02 , 2017.02,产品总监,-1、管理网票网全线产品，包括WEB端、APP、H5、微信公众号和小程序，以及后台相关服务程序。-2、赐座APP从0到1。-赐座APP是一款C端电影票比价工具，我主持并完成了产品的前期规划及多版本研发、上线迭代过程，2016全年发展用户100万，暑期日活率超5%。--;北京好欣晴移动医疗科技有限公司,2017.05 , 2017.07,产品总监,-规划线上问诊、学术与科研、SaaS等产品线，管理产品及UI团队。--;},{北京工业大学,硕士 , 计算机科学与技术,2005年毕业;},{},{},{}
e6a7ad2ae1978e44b2eaa0c8db6cb463, 遇见更好的自己 -                                    ,女,28岁,本科, 灵雀云-                            -                                                                            ,-                                高级项目经理 ,5年工作经验,北京,-5个方面让您对我多一份“了解”：-专业：具备良好的项目沟通与协调能力，把握客户需求，以交付为目标进行跨部门沟通协调，有PMP项目管理认证。-业务：敢打敢拼，配合CEO打下多个行业重要头部客户。-工作：具备团队合作力、负责任勇担当、坚持并奋进，多年云计算行业经历。-性格：坚强、乐观、自信。-爱好：游泳、滑雪、羽毛球、话剧。--,商务拓展,全职,北京,15k,25k,-------,,,{ 工作经历 :阿里云万网,2011.08 , 2012.06,品牌域名管理专员,-1.负责集团及大型企业的品牌域名的管理工作，对品牌域名数据加以分析，定时出域名健康运行报告，保护企业域名及其品牌价值。-2.负责万网云主机客户的问题跟进与反馈。-3.协助部门领导完成日常工作。--;国网信通,2012.07 , 2016.03,产品经理,-产品：--负责分布式存储系统和云资源管理平台产品的调研、规划设计和需求分析工作；-协调设计、研发、测试各环节，确保项目进度，保证产品顺利上线运行；-负责产品优化运营，收集整理用户反馈，进行数据分析，提升前端用户体验及客户对于产品的满意度；- 负责产品宣传推广工作，制作宣传物料，在行业展会中进行产品推广，树立品牌形象。--项目：--国家电网云计算项目招投标工作，负责编写技术方案、投标；-国网信通、天津、湖北、蒙东、电科院分布式云存储项目管理和验收工作；-负责数据迁移与备份项目的协调与技术支持工作。-湖北、浙江省电力公司桌面云项目验收工作。--合作：--与阿里巴巴合作就数据中心、云计算相关合作，编写合作方案、需求反复敲定、互相了解学习推进项目落地；-负责展厅云计算业务讲解，宣传产品并拓展业务；-各上下游厂商的技术交流，寻求合作机会并落地项目。---;灵雀云,2016.05 , 至今,高级项目经理,-项目：--负责金融、电力客户的业务拓展工作，进行项目落地。具备产品市场化包装能力和整体项目管控协调能力。从前期客户拜访交流、需求调研、PoC到项目立项，以及招投标、后期项目交付、验收等各环节，进行全生命周期管理，协调相应资源完成项目目标。-组织内部项目管理工作，包括制定项目管理标准流程和所需项目模板、标书、项目成本核算、跟进项目整体进度和交付质量，提升客户服务满意度。--合作：--平台层产品对接，存储、日志、应用市场，对SaaS类产品需求、对接展示方案。-代表公司参加各类市场活动、行业内会议等，提升品牌价值宣传产品。如微软合作伙伴、AWSSummit、工信部或行内组织的会议，其中参与编写过开源云联盟组织的《2016容器技术及其应用白皮书》。----;},{北京工业大学,本科 , 信息管理与信息系统,2012年毕业;},{电力云存储服务系统研发项目,产品管理,2012.08 , 2013.06,-1.云存储产品市场调研、输出商业计划书及竞品分析报告；-2.调研终端用户需求，梳理业务模式，确定产品需求进行功能设计； -3.协调开发、测试人员，推进研发进度，按项目进度完成。--;电力云存储服务系统二期项目,产品管理,2013.07 , 2014.05,-1.产品定价策略，策划推广方案，产品宣传物料，行业参展；-2.产品上线运营，收集用户反馈，进行数据分析，优化提升用户体验；-3.规划产品新功能与版本，快速迭代。--;云安全终端推广项目,项目管理,2014.11 , 2015.12,-1.云安全终端推广项目招投标相关工作，包括前期配合电科院进行产品功能、性能、安全与兼容性测试，技术路线选择与方案设计；2.云存储上线实施，项目管控，顺利完成各地项目验收。--;智能云运维管理平台,产品管理,2015.08 , 2015.12,-1.调研用户运维管理方面的需求及现有业务流程，设计原型；-2.规划智能云运维管理平台版本和功能。--;},{办公 ppt/visio/xmind,专家;存储技术了解 Gluster fs/ceph,精通;虚拟化技术 Vmware/Xenserver/Kvm,精通;项目管理工具 Jira/trello/project,专家;},{}
9051333996e01d9ae16a7d1b0cd8ea9c, Problem Solver -                                    ,男,36岁,本科, T2Cloud-                            -                                                                            ,-                                openstack dashboard研发 ,10年以上工作经验,北京,-英文流利，CET6，善于沟通-喜欢尝试新事物--,程序员开发,全职,北京,25k,50k,,,,{ 工作经历 :中国电影集团 - 华龙电影数字技术有限公司,2003.02 , 2007.07,工程师,--系统工程师Linux服务器、工作站、SAN/NAS维护胶片电影数字修复工作流程设计-数字电影服务器工程师，母盘制作、编码和发行-2005年参加在日本东京进行2周的数字电影技术交流培训---;Technicolor,2007.07 , 2014.02,系统工程师 > Pipeline > 数字中间片技术指导,--Python和Shell开发后期制作工具，为Nuke合成软件开发插件-维护安装Linux服务器、工作站（DHCP,HTTP,LDAP等）-放映机、监视器色彩管理，可写LUT-建立公司数字机房（从设计到运转）-数字/胶片放映机、Spirit4K胶片扫描仪和ARRI激光胶片输出系统工程师-参与制作项目：《集结号》、《唐山大地震》、《山楂树之恋》等-2008.3在好莱坞Technicolor总部进行2周色彩管理职业培训----;Apvera Singapore,2014.10 , 2015.08,Python Developer,--Django后端开发，使用Github+AWS+CircleCI和Docker容器部署-搭建IDSSuricata入侵检测系统----;T2Cloud,2015.11 , 至今,openstack dashboard研发,--负责私有云web后台管理界面开发，并对Horizon开源项目有14次社区提交贡献:http://stackalytics.com/?release=all&user_id=liaozd-使用Django,MySQL。使用Docker和GitlabCI多节点自动部署-熟悉Nova,Neutron,Cinder,Glance等各种OpenStackAPI调用-敏捷开发模式，代码review且遵守PEP8规范-参与项目：中铁信-铁信云，国家电网私有云----;},{北京工业大学,本科 , 应用数学系,2003年毕业;},{},{openstack,熟悉;shell,精通;linux,精通;django,精通;python,精通;},{}
