QQ音乐5.0已经准备好了，所以微信就顺手封掉了网易云音乐、虾米和天天？_36氪,	 2月3日和2月4日两天，国内的在线音乐市场迎来了“版权大战”之后的又一场撕逼。微信陆续封掉了网易云音,	 http://36kr.com/p/219492.html
K12贡献了收入的一半，新东方早不是你眼中的“留学英语培训机构”_36氪,	 ,	 http://36kr.com/p/5035626.html
Facebook激活“安全确认”功能，首次用于恐怖袭击_36氪,	 本周五晚上法国巴黎发生了恐怖袭击事件，除了在接下来的时间里锁定各大新闻媒体曝出的消息以外，不断有个人,	 http://36kr.com/p/5039693.html
Facebook 免费从用户身上获得好处的日子到头了_36氪,	 编者按：本文作者Jeff Bercovici是Inc.com的高级编辑。,	 http://36kr.com/p/5046250.html
职场点评社区 Glassdoor：快世界里做一桩慢生意_36氪,	 ,	 http://36kr.com/p/5035814.html
借中信东风，百度终于拥有了自己的银行_36氪,	 ,	 http://36kr.com/p/5039833.html
“造作”用好设计＋好产品＋低价格，想在 3 万亿的家具市场分一杯羹_36氪,	 ,	 http://36kr.com/p/5039776.html
从生日管理切入社交消费平台的“生日管家”获得千万级人民币Ａ轮融资，下一步将用功打通供应链和深耕消费服务_36氪,	 生日管家是一款由管理好友生日切入礼品电商平台的产品，主打围绕生日的社交消费，起初时主要专注于与生日消,	 http://36kr.com/p/212653.html
Solar Roadways筹款超100万美元，想用太阳能电池板铺设道路发电_36氪,	 现代科技的发展已经渗透到我们生活的方方面面，但我们每天要踩无数次的沥青马路是不是已经好久没有改变了呢,	 http://36kr.com/p/212331.html
2014年DDoS攻击趋势：更大、更快、更强、更聪明_36氪,	 提供DDoS防护与网站安全、CDN等的Incapsula公司的联合创始人兼CEO Gur Shatz,	 http://36kr.com/p/211348.html
Oculus为啥还没支持Android？GameFace向你证明了头戴式VR设备与Android搭伴有多不靠谱_36氪,	 从一开始，Oculus就表示它的头戴式虚拟现实设备未来将支持安卓，但迄今为止从没明确解释过这两者要怎,	 http://36kr.com/p/210599.html
在家工作，10招助你效率、生活两不误_36氪,	 我花了很久才接受这样一件事：将每天的工作安排紧凑例行公事，并不等于没有了自由。,	 http://36kr.com/p/209230.html
Facebook发布2015第四财季财报：净利润15.62亿美元，同比增长123%_36氪,	 Facebook今天发布了2015财年第四财季及全年未经审计财报。财报公布了Facebook第四财季,	 http://36kr.com/p/5042811.html
Facebook即将上线新功能“Find Wi-Fi”，帮全球用户找周边免费公共网络_36氪,	 去年Facebook就已经预告，正在测试一项为用户提供周边免费公共Wi-Fi的功能，名为“Find ,	 http://36kr.com/p/5081962.html
进军 Marketplace 界面，Facebook 这是要跟广告业务死磕到底？_36氪,	 我在上一篇文章中提到过，Facebook 已经开始全面试水主屏广告业务。而且，根据 Facebook,	 http://36kr.com/p/5084065.html
【CES 2016】与腾讯、高通合作、手机芯片、自动避障，零度发布多款无人机_36氪,	 消费级无人机领域，大疆这两年风头正劲，但其它无人机厂商都在不断发力，希望有所突破。亿航本届CES直接,	 http://36kr.com/p/5041998.html
阿里要在印度推免费互联网服务?小心遇上跟Facebook一样的尴尬哦_36氪,	 阿里为了在印度扩展也是不容易，还要帮他们改善基础设施，可能在印度推免费互联网。,	 http://36kr.com/p/5063380.html
Facebook Q1财报涨势不错，月活用户接近20亿人_36氪,	 日前，Facebook发布了2017年第一季度的业绩报告。该季度公司的营收达到了80.32亿美元，同,	 http://36kr.com/p/5073418.html
Facebook：员工高敬业度的唯一驱动力_36氪,	 编者按：本文来自微信公众号“红杉汇”（ID：Sequoiacap），编辑洪杉；36氪经授权发布。,	 http://36kr.com/p/5072700.html
应对虚假新闻，谷歌大权独揽替用户判断“权威内容”_36氪,	 编者按：虚假新闻是报纸行业中面临的最大的挑战。本文作者 Ben Thompson 是 Stratec,	 http://36kr.com/p/5073568.html
Facebook公布新语音助手项目，想世界各地研究人员共享实验数据_36氪,	 现在，语音识别已经做到比较高的精度了，但是语义识别还差强人意。本周一，Facebook公布了一个新的,	 http://36kr.com/p/5075216.html
抄袭者们在增长，Snap自己的日子却不好过_36氪,	 眼看着Facebook新一季度营收大涨45%，花式抄袭Snap的Instagram立了大功，本尊Sn,	 http://36kr.com/p/5087615.html
Zara开全球首家婴童专门店，火热的童装市场背后，还有一半是冰_36氪,	 看来，Zara想把童装快时尚进行到底。,	 http://36kr.com/p/5087552.html
九寨沟7.0级地震发生后，除了随处可见的瓦砾，还有自发购买食物赈灾的司机_36氪,	 ,	 http://36kr.com/p/5087400.html
防电子商务欺诈公司Signifyd完成5600万美元C轮融资，进一步开拓国际市场_36氪,	 随着互联网的崛起，网络安全及欺诈问题也甚嚣尘上，很多公司试图解决这一问题，Signifyd是其中一家,	 http://36kr.com/p/5073620.html
麦肯锡：哪些人类工作能被机器替代，哪些目前不能_36氪,	 编者按：机器学习和机器人技术等自动化技术在日常生活中发挥的作用日益增大，它们对工作环境的潜在影响得到,	 http://36kr.com/p/5070265.html
自动化时代，想保住饭碗？来和机器做朋友吧！_36氪,	 编者按：自动化生产不可避免，乃是大势所趋，对全球的企业和世界各国都会带来巨大好处。然而，自动化不会一,	 http://36kr.com/p/5070751.html
最受欢迎的家庭智能设备：家庭自动化、无线安全、智能音响和互联网家电_36氪,	 编者按：技术的发展正日益渗透到人们的日常生活中。而未来世界中，所有的一切都将连在一起。” CONNE,	 http://36kr.com/p/5075872.html
造了 34 年音频设备，Velodyne 为何突然成了激光雷达的先锋？_36氪,	 编者按：如果你关注无人车领域，你肯定会知道 Velodyne 这家公司，Velodyne 目前已经是,	 http://36kr.com/p/5087647.html
AI 开始玩电子游戏了，期待它和人类一起打电竞_36氪,	 编者按：近几年来，人工智能一词可谓是赚足了公众的眼球，机器人不仅能处理各种繁重的工作，还学会了如何玩,	 http://36kr.com/p/5073142.html
深度学习中的怪圈_36氪,	 首发于大数据文摘公众号（ID：BigDataDigest），转载请注明来源，作者：Carlos E.,	 http://36kr.com/p/5075103.html
Facebook开源AI对话研究平台ParlAI ，解决人机对话最常见5类问题_36氪,	 编者按：本文由微信公众号“新智元”（ID：AI_era）编译， 来源：Facebook、Techcr,	 http://36kr.com/p/5075718.html
家居升级不止于设计创新，「InYard」要用色彩作出风格_36氪,	 关于家居用品升级，新兴品牌都是通过设计和调性来捕获消费者，造作、吱音都是很好的范本。InYard 是,	 http://36kr.com/p/5086151.html
除了发布概念车，上汽还想跟你聊聊“互联网×新能源”的未来_36氪,	 4月18日，36氪获悉，上汽官方在上汽荣威儿童艺术中心举行了首届“汽车创行者大会”。在大会上，上汽发,	 http://36kr.com/p/5071409.html
为什么中国人很难突破自动驾驶「控制层」？_36氪,	 编者按：本文来自微信公众号“车云”（ID：cheyunwang），作者Joy；36氪经授权发布。,	 http://36kr.com/p/5074480.html
用数据说话：中国竟有200家新能源整车企业，90%必将被淘汰？_36氪,	 编者按：本文来自GeekCar，作者知乎用户Richard。,	 http://36kr.com/p/5075296.html
止疼药、摇头丸与抗生素，你的产品靠什么留住用户？_36氪,	 人人都是产品经理是中国最大最活跃的产品经理学习、交流、分享社区。集媒体、社区、招聘 、教育、社群活动,	 http://36kr.com/p/5087742.html
种子轮投资最重要的是什么？看见机会 or 拿下项目？| 投资人说_36氪,	 编者按：根据36氪报道，我们得知风险投资公司去年保持较谨慎的行进步伐，纽约市种子投资的幅度在2017,	 http://36kr.com/p/5074352.html
投资创业公司前，投资人在想什么？ | 投资人说_36氪,	 编者按：如果你已经开始为你的初创公司向投资者做pitch，那么你就会知道这有多难（如果还没有感觉到难,	 http://36kr.com/p/5074900.html
12 个月，如何从“小白”变成硅谷的软件工程师？_36氪,	 编者按：在科技行业，写代码是一项比较性感的工作，有人通过培训班学编程，也有很多人选择自学编程。即使会,	 http://36kr.com/p/5078281.html
在印度，如何做好联合办公这门生意？_36氪,	 印度创业生态系统日益崛起、租金飙升以及长期租赁协议的规定，所有这些都迫使年轻的创业公司在办公室租赁方,	 http://36kr.com/p/5077735.html
除了整容和泡菜，韩国的 IT 行业也不差_36氪,	 今年年初，韩国被彭博社评为全球最具创新力的经济体，在研发力度、高附加值制造业和专利发明方面领先其他国,	 http://36kr.com/p/5076322.html
2030年后一辆烧油的汽车都不会在印度市场出售，是吹牛X吗？_36氪,	 “到2030年，一辆烧油的汽车都不会在印度市场出售。”这是印度能源部长皮尤什•戈亚尔（Piyush ,	 http://36kr.com/p/5073718.html
Unsplash创始人：拍照分享的今天，摄影行业的未来_36氪,	 编者按：智能手机的出现使照片成为随手可得之物。照片版权相比之前成为愈加争议的话题。Unsplash社,	 http://36kr.com/p/5087467.html
数据看趋势 | 谷歌、百度、苹果和英特尔们的 AI 收购战役_36氪,	 编者按：AI技术是开启新一波互联网浪潮的契机。行业巨头纷纷入局，并通过资本收购充实完成发展布局。CB,	 http://36kr.com/p/5086786.html
演讲三大误区：面无表情、刻意停顿、连串追问_36氪,	 编者按：演讲是一件极富技巧的事情，它需要不断地练习。本文作者阿奈特·格兰特身为Executive S,	 http://36kr.com/p/5085950.html
美国最大电视台和运营商打算强强联合，交易价格是40亿美元_36氪,	 美国媒体巨头合并之风有越刮越盛的趋势。,	 http://36kr.com/p/5073857.html
银行和互金都在讲大数据，二者有何区别？_36氪,	 本文首发于微信公号：洪言微语（ID:hongyanweiyu）,	 http://36kr.com/p/5075059.html
亚太区金融应用报告：财务应用使用量领跑全球，微信、支付宝要颠覆移动金融业_36氪,	 编者按：本文来自 App Annie，36氪经授权发布。,	 http://36kr.com/p/5075683.html
为什么不与银行合作的互金巨头，可能没有好下场？_36氪,	 作者：薛洪言，苏宁金融研究院互联网金融中心主任；微信公号：洪言微语,	 http://36kr.com/p/5077174.html
风险投资趋之若鹜的众安保险要上市，它的千亿高估值你买不买单？_36氪,	 作为中国互联网保险第一股，众安保险正式赴港申请IPO了。,	 http://36kr.com/p/5082267.html
银监会封杀非持牌机构进校放贷，但允许新金融公司以助贷模式进场_36氪,	 自从去年8月银监会对校园贷下达关停的指令后，校园贷进入冰冻期。从2015年的108家，到目前只剩21,	 http://36kr.com/p/5081801.html
用AI取代十万名车险定损员，蚂蚁金服每年为保险行业节省几十亿元_36氪,	 人工智能正在让数十万信贷审批员面临下岗困境，如今，金融行业另一批从业者和他们所参与的低效环节，也将面,	 http://36kr.com/p/5081423.html
无印良品要开一家高级餐厅，MUJI Plus系列中又多了MUJI Diner_36氪,	 6月3日，无印良品将在上海淮海755旗舰店全球首发一项新的业态：MUJI Diner（无印良品餐）。,	 http://36kr.com/p/5074772.html
创业公司如何规避时机型错误_36氪,	 编者按：时机在很多情况下是一种后验产物。我们总是擅长扮演“事后诸葛亮”这样的角色，一本正经地要在随机,	 http://36kr.com/p/5070698.html
SaaS销售就是搞定老板？自下而上的SaaS销售未来几年或将成为主流_36氪,	 本文来自SaaSpad，作者春阳,	 http://36kr.com/p/5071025.html
谷歌警告700家广告商：明年Chrome更新后，你们的广告都要完蛋_36氪,	 ,	 http://36kr.com/p/5087674.html
谷歌被迫取消本周的多样性会议，因员工安全受威胁_36氪,	 ,	 http://36kr.com/p/5087662.html
关机也没用！研究表明，人只要在手机附近就会变傻_36氪,	 编者按：手机已经成为现在人们生活中不可或缺的设备，然而手机给我们带来便捷的同时，也给我们造成了很多负,	 http://36kr.com/p/5087572.html
扎克伯格、盖茨、马斯克，这些超级富豪们喜欢的东西果然都一样_36氪,	 土豪的日常是咋的？据说特斯拉CEO马斯克在追求他前妻的时候，问的是“想看看我的火箭么？”把送钻石送车,	 http://36kr.com/p/5070891.html
让小米干净如iPhone！实测关闭MIUI全部广告_36氪,	 小米手机之所以能受到很多消费者的欢迎，不仅是因为在较低的价格能买到较高的配置，其内置的MIUI也是一,	 http://36kr.com/p/5074799.html
微信深夜放了五个大招，想让你用完再也不走了_36氪,	 编者按：本文来自微信公众号“望月的博客”（ID：wangyueblogging），作者 望月，36氪,	 http://36kr.com/p/5075467.html
一场“一带一路”的发布会：雷军拉着马东、罗振宇一起发布了小米Max 2_36氪,	 雷军联合罗振宇、马东，一起搞了一场手机发布会。,	 http://36kr.com/p/5077246.html
一周文娱 | 《战狼2》上映11天票房破30亿；《王者荣耀》女性玩家超男性，数量超1亿_36氪,	 暑期档《战狼2》继续发力，超越《美人鱼》，登顶国产电影票房只是时间问题；电影版《三体》连续跳票后，电,	 http://36kr.com/p/5086840.html
【一周文娱热点】《大护法》口碑逆袭但“收成”不好；上半年六平台主播收入达18亿；B站回应影视剧下架：还要持续一两月_36氪,	 暑期档上半场预冷，目前票房最高者《神偷奶爸3》有望冲10亿；《银魂》真人电影首周票房9.8亿日元，超,	 http://36kr.com/p/5084655.html
柯洁说机器人冷冰冰，那是因为他没看过“微软小冰”写的诗！_36氪,	 今天，柯洁与AlphaGo的围棋人机大战三番棋进行第一局比赛。虽然柯洁最后以1/4子的劣势不敌Alp,	 http://36kr.com/p/5076318.html
中国劳动力成本升高，阿迪达斯将部分生产线撤回德国机器人工厂_36氪,	 20世纪90年代，由于廉价劳动力，阿迪达斯在中国开设工厂安营扎寨。如今，20年过去了，中国劳动力成本,	 http://36kr.com/p/5070693.html
阿迪达斯CEO：在美大规模制造运动鞋不！可！能！_36氪,	 零售老板内参 撰文：Evelyn 杜,	 http://36kr.com/p/5072356.html
蚂蚁金服井贤栋公开信，呼吁商家平等对待不同支付选择_36氪,	 编者按：本文来自零售老板内参，作者万德乾。,	 http://36kr.com/p/5085897.html
没有厨房、没有厨师，这家餐厅靠卖罐头食品开了五十家店_36氪,	 一家餐厅，没有厨房、没有厨师，店里只卖罐头，两三个营业员，负责收银、开罐头、热罐头，很多人心里不禁想,	 http://36kr.com/p/5085419.html
美团开一家生鲜超市“掌鱼生鲜” 要对标盒马鲜生，有点意思_36氪,	 王兴所说的无穷机会，除了他在线上的布局以外，还有线下实体的涉足。,	 http://36kr.com/p/5085412.html
不只换脸换表情，开为科技还想借3D模型卡位 VR 文娱教育_36氪,	 在前不久，36氪报道的入选 HTC VIVE X 虚拟现实加速器第二批计划的名单中，我们曾提到过开为,	 http://36kr.com/p/5070033.html
马云再谈“五新”：新零售第一波冲击刚过去，新制造冲击很快就来_36氪,	 4月23日，在河南郑州举行的2017中国绿公司年会上，马云再一次谈到对未来30年技术和商业趋势的判断,	 http://36kr.com/p/5072056.html
美国零售店成批倒闭，形势严峻更甚于经济衰退时期_36氪,	 饱受打击的美国零售业本周又传出坏消息，在价格区间的两端，都有一些商店准备关门大吉。,	 http://36kr.com/p/5070102.html
阿迪达斯削减中国产能，遭遇市场细分化挑战_36氪,	 继2012年关闭在华直属工厂后，运动鞋服巨头阿迪达斯削减中国产能或再有新举动。据外媒报道，阿迪达斯将,	 http://36kr.com/p/5072083.html
不仅成分天然，还得动物友好，100%Pure 想做美国版的 LUSH_36氪,	 100%Pure 是 2005 年创立于美国硅谷的一个天然有机彩妆品牌，品牌最大的特色在于用产品原料,	 http://36kr.com/p/5072138.html
这家来势汹汹的品牌剑指中国第一时尚专业彩妆，有多厉害？_36氪,	 2017年3月11日，REC在上海大悦城开设第一家单品牌精品店后，两个月内又在成都IFS、上海美罗城,	 http://36kr.com/p/5072964.html
白百何出轨事件中，以头条指数为首的四大指数表现如何？_36氪,	 本文来源于微信公众号“万能的大叔”（ID：wannengdedashu）,	 http://36kr.com/p/5070734.html
短视频的商业机会在哪里？ —— 专访今日头条高级运营总监吴达_36氪,	 短视频是2017年的新“风口”之一。然而，这个新的“风口”不仅得到了关注，也在遭受质疑：短视频形态不,	 http://36kr.com/p/5072070.html
今日头条腾讯搜狐“起诉战”的背后：是遏制对手还是版权竞争？_36氪,	 4 月 26 日下午消息，腾讯和搜狐近日以涉嫌侵犯其所属作品的信息网络传播权为由，将今日头条诉至海淀,	 http://36kr.com/p/5072643.html
锤子投资人炮轰阿里，谁会成为罗永浩的白衣骑士？_36氪,	 近日在一个媒体活动上，罗永浩出人意料地透露锤子已获约10亿元融资的消息，不过具体金额和投资方都语焉不,	 http://36kr.com/p/5087562.html
谷歌上线信息流，或将收购Twitter弥补内容短板？_36氪,	 据彭博社报道，谷歌搜索App下周三将上线信息流功能，之后Chrome手机版浏览器的搜索也会集成信息流,	 http://36kr.com/p/5084804.html
《王者荣耀》推最严防沉迷系统，然而未成年人防沉迷只靠系统不够_36氪,	 7月2日，腾讯宣布将针对《王者荣耀》推出“最严”防沉迷系统，一共采取三大措施避免未成年人沉迷，包括限,	 http://36kr.com/p/5082108.html
SaaS产品如何定价？风投公司OpenView总监说大部分公司都错了_36氪,	 SaaS 定价策略的微小改进可能对客户注册，MRR和业务整体产生很大的影响。但问题是：如何对价格策略,	 http://36kr.com/p/5071307.html
信息流广告热了半年，百度和腾讯开始发力了 | 营销观察_36氪,	 不管如何低调，今日头条最终还是迎来了巨头们的围剿。腾讯与今日头条之间围绕版权的诉讼只是表象，作为企业,	 http://36kr.com/p/5073365.html
对2017年医疗健康投资趋势，浩悦资本认为早期投资谨慎、兼并收购活跃_36氪,	 近日，浩悦资本发起的“2016年医疗健康投资卓悦榜”揭晓。值得关注的是，在完成机构、企业评选的同时，,	 http://36kr.com/p/5072536.html
英语流利说完成C轮近亿美金融资 华人文化基金与双湖资本领投_36氪,	 2017年7月26日，中国领先的人工智能（下称AI）+教育公司流利说在北京举行发布会，正式宣布完成C,	 http://36kr.com/p/5085260.html
移动化、碎片化时代，在线教育如何二次迭代？专访网易云课堂负责人蒋忠波_36氪,	 在线教育，尤其是针对成年人的在线技能教育，作为互联网行业中的“慢行业”，一直给人的印象是”平稳发展、,	 http://36kr.com/p/5084969.html
机器人“入侵”华尔街：30%的银行职位将被AI取代？_36氪,	 当人们提到一个精明的老资本大鳄，一种常见的修辞方式是说这个人像“机器人一样无情冷酷”。好了，如今这样,	 http://36kr.com/p/5084790.html
关于Elon Musk的隧道交通计划，你想知道的都在这里了_36氪,	 关于特斯拉CEO Elon Musk专门用来掘地三百尺的新公司The Boring Company，,	 http://36kr.com/p/5075502.html
传腾讯音乐已启动上市计划，估值或达100亿美元_36氪,	 继网易云音乐宣布7.5亿元的A轮融资之后，在线音乐市场又有了新的资本动作。,	 http://36kr.com/p/5072644.html
如何为电动车市场做升级，“联鸿精工”希望做线上线下平台，满足用户安防和售后需求_36氪,	 目前，中国电动自行车保有量约为2.5亿辆，涉及2亿家庭，6亿人口，每台电动车每年损耗成本平均为200,	 http://36kr.com/p/5086796.html
豆瓣时间首个付费图文专栏上线，“诗与远方”的商业化后豆瓣还想怎么玩?_36氪,	 就在今天，豆瓣时间会上线首个付费图文专栏《邪典电影本纪——亚文化电影50讲》，这是豆瓣时间自3月7日,	 http://36kr.com/p/5071602.html
【氪星晚报】马化腾和阿里都看好制造业；豆瓣时间上线首个付费图文专栏；Facebook要用皮肤读信息_36氪,	 今日关键词：制造业、内容付费、Facebook,	 http://36kr.com/p/5071710.html
和韩寒搭档做出《独唱团》和ONE后，创业者小饭在造一个“线下版豆瓣”_36氪,	 小饭的微博介绍栏里，写的是“前 作家、媒体人、一个 App 主编”。从《花火》主编、《萌芽》杂志编辑,	 http://36kr.com/p/5074272.html
从原创到社交媒体，在线音乐平台如何破解收入与传播困境？_36氪,	 编者按：本文来自微信公众号“腾讯深网（qqshenwang）”，作者 韩依民；36氪经授权发布。,	 http://36kr.com/p/5087021.html
寻找微博以外的新收入来源，新浪掌舵人曹国伟瞄准互联网金融_36氪,	 随着移动市场开始放缓，中国版推特的运营商新浪公司正准备与国内互联网巨头在网络借贷方面展开竞争。,	 http://36kr.com/p/5072330.html
36氪_让一部分人先看到未来,	 ,	 http://36kr.com/p/5073342.html
贾跃亭在港筹资发工资，目前尚无结果_36氪,	 编者按：本文来自经济观察网，作者李意安。,	 http://36kr.com/p/5087547.html
【独家】专利服务平台“智慧芽”，获美国风投千万美元B轮融资_36氪,	 PatSnap智慧芽是一家专注于专利大数据的B2B SaaS企业。,	 http://36kr.com/p/5042342.html
Jawbone 1亿多美元收购BodyMedia，可穿戴健康设备市场硝烟再起_36氪,	 两个多月前，Jawbone 刚收购了旧金山创业公司Massive Health和波特兰设计公司Vis,	 http://36kr.com/p/202945.html
重新定义新用户，如何破解新用户增长难题？_36氪,	 PMCAFF：最大互联网产品社区，是百度，腾讯，阿里等产品经理的学习交流平台。定期出品深度产品观察，,	 http://36kr.com/p/5050129.html
不止电子签名，文签想做一个电子合同签署与托管的平台_36氪,	 据36氪之前的报道，电子签名服务厂商DocuSign在去年获得2.33亿美元的融资之后，其估值一定达,	 http://36kr.com/p/5050324.html
数据分析与数据仓库平台Panoply.io获700万美元A轮融资_36氪,	 以色列的数据分析与数据仓库平台Panoply.io刚刚获得了700万美元的A轮融资。,	 http://36kr.com/p/5050533.html
网络安全初创公司 SafeBreach 获 1500 万美元 A 轮融资，减少网络攻击对企业的危害_36氪,	 今天，网络安全初创公司 SafeBreach 宣布完成1500 万美元 A 轮融资，新投资者德国电信,	 http://36kr.com/p/5050121.html
4张图看懂今天百度发布的人工智能云平台——“天智”_36氪,	 百度曾在今年7月发布了百度公开云战略。推出天算、天像、天工三大智能平台。4个月后，百度云的“平台组合,	 http://36kr.com/p/5057897.html
蓝驰创投叶丹：企业服务的未来是大数据和人工智能_36氪,	 以下全文内容为蓝驰创投官方首发，转载请联系蓝驰创投（lanchichuangtou）微信公众号后台。,	 http://36kr.com/p/5057947.html
改变企业传统学习管理系统， Workramp ​获 180 万美元种子轮融资_36氪,	 12 月 1 日，企业培训平台供应商 Workramp 获 180 万美元种子轮融资，由 Susa ,	 http://36kr.com/p/5058141.html
餐饮的秘密：在一个平均寿命2.1年的行业内如何把握未来？_36氪,	 本文来自微信公众号“RET睿意德”（ID:retweixin）,	 http://36kr.com/p/5057650.html
欧盟支付服务法令 II 执行难？提供解决方案的 Token 获 1570 万美元 A 轮融资_36氪,	 日前，基于 API 的开放式银行网络平台 Token 宣布，已完成 1570 万美元的 A 轮融资，,	 http://36kr.com/p/5072314.html
央妈成立金融科技委员会，背后可能有三个不得已_36氪,	 本文首发于微信公号：洪言微语（ID:hongyanweiyu），作者：薛洪言，苏宁金融研究院互联网金,	 http://36kr.com/p/5075170.html
微软 Surface 问题多多，《消费者报告》不再推荐购买_36氪,	 美国知名杂志《消费者报告》本周四宣布，将不再推荐消费者购买微软 Surface 平板电脑。根据《消费,	 http://36kr.com/p/5087644.html
韩国供应链消息人士：iPhone 8 发布已推迟至11月_36氪,	 根据《 The Korea Herald 》报告，韩国苹果供应商的匿名消息人士爆料称，iPhone ,	 http://36kr.com/p/5087641.html
专治白领犯罪！这款APP提供金融犯罪的地区热点图 | 发现_36氪,	 编者按：金融犯罪在现实社会中越来越普遍，08年金融海啸让数之不尽的人破产倒闭。Cora Lewis早,	 http://36kr.com/p/5072849.html
不良资产处置是下一个万亿级风口吗？我们不这么认为_36氪,	 编者按：本文经授权转载自微信公众号“凯泰资本（ID：ktcapital）”，作者为凯泰资本投资经理王,	 http://36kr.com/p/5077973.html
不良资产“淘金者”，互联网加持之下有何新玩法？_36氪,	 不良资产清收服务O2O公司资产360发布消息称，今年6月完成由SIG（海纳亚洲创投基金）领投，玖创资,	 http://36kr.com/p/5058651.html
资产百分百获近千万人民币融资，委案金额达到15亿元_36氪,	 资产百分百宣布于近日获得青望资本近千万人民币Pre A轮融资，据悉资金将用于继续对产品和技术进行投入,	 http://36kr.com/p/5055185.html
资易通推移动化资产清收工具“猫掌”App，不良资产处置还能简单点_36氪,	 不良资产处置作为万亿级市场已经是行业共识，相关背景可以参考36氪特邀作者的深度分析，以及我们的沙龙讨,	 http://36kr.com/p/5062342.html
36氪首发｜大锤资产完成两轮超2000万融资，贷后处置核心竞争力在于效率_36氪,	 近日，大锤资产董事长兼总经理蒋薇告诉36氪，公司已经完成两轮融资，分别为2000万A轮融资以及A+战,	 http://36kr.com/p/5070875.html
国家金融研究院院长朱民：未来银行可能的样子_36氪,	 5月26日，国家金融研究院院长朱民受邀参加 “未来金融创新峰会”。在25分钟内的演讲中，朱民老师认为,	 http://36kr.com/p/5077425.html
从德扑到基金，MIT博士创办Quantomic Capital，将AI用于金融_36氪,	 ,	 http://36kr.com/p/5086890.html
为从业者提供实务培训内容，「领带金融学院」如何做“金融版得到”？_36氪,	 金融行业的教育培训需求来自两方面：内因是中国金融行业处于成长期，科班金融知识与实务脱节，从业者面对快,	 http://36kr.com/p/5085843.html
三星重返市场份额榜首，一季度华为销量增长21.7%_36氪,	 近期，市场研究机构IDC发布2017年第一季度智能手机出货量数据，其中显示第一季度智能手机出货量同比,	 http://36kr.com/p/5072948.html
为啥iPhone 7在中国卖不动？苹果这个“机智”的解释，看了想笑_36氪,	 曾经，iPhone每推出一款新产品，苹果门前总是会排起长长的队伍，甚至加钱也不一定买得到，因为缺货；,	 http://36kr.com/p/5073306.html
苹果41岁，是时候聊聊中年危机了_36氪,	 编者按：本文来自微信公众号“我是波波夫”（ID：trip517），作者波波夫；36氪经授权发布。,	 http://36kr.com/p/5073467.html
销售易获2.8亿元D轮融资，发力CRM行业解决方案_36氪,	 今日，销售易对外宣布，已于今年1月完成2.8亿元人民币的D轮融资，由腾讯领投，红杉资本、经纬中国、真,	 http://36kr.com/p/5061806.html
和创科技（红圈营销）启动新一轮融资，公告拟募资2.1亿元_36氪,	 和创科技（834218）5月26日发布股票发行公告，拟以每股30元的价格，募集不超过2.1亿元的资金,	 http://36kr.com/p/5077500.html
分发平台的价格锚定效应_36氪,	 编者按：锚定效应(Anchoring Effect)一般又叫沉锚效应，是一种重要的心理现象。所谓锚定,	 http://36kr.com/p/5074710.html
销售易发布三款新产品，整合打通企业内外销售流程与数据_36氪,	 2017年5月18日，移动CRM领导者销售易召开了主题为“重塑连接 知化未来”的2017战略及新产品,	 http://36kr.com/p/5075605.html
借助数据平台和算法诱导你戒烟，以色列Somatix获600万美元A轮融资_36氪,	 近日，以色列数字医疗初创公司Somatix宣布获得来自Digitalis Ventures的600万,	 http://36kr.com/p/5087131.html
Update|信良记宣布完成 1.2 亿元 A+轮融资，专做海产品餐饮B2B供应链解决方案_36氪,	 36氪获悉，餐饮供应链品牌信良记已于2017年7月完成1.2亿元的A+轮融资。本轮融资由钟鼎创投领投,	 http://36kr.com/p/5068411.html
周黑鸭入局，小龙虾供应链开战_36氪,	 ,	 http://36kr.com/p/5073320.html
从小龙虾切入，鲜剑奇虾瞄准供应链，要做“菜单的供应商”_36氪,	 《零售老板内参》撰稿：思齐,	 http://36kr.com/p/5075374.html
物流只是第一步，掌管供应链才是菜鸟的目标_36氪,	 菜鸟网络即将迎来四岁生日，据称2017年底将达300万平方米的仓储网络已跃居中国电商前列——面积上仅,	 http://36kr.com/p/5076037.html
「真格教育基金」今日宣布成立，徐小平：在线教育的奇迹将出现在中国_36氪,	 今日，真格基金正式宣布成立教育专项基金“真格教育基金”。这支基金由真格基金联合A股上市公司盛通股份盛,	 http://36kr.com/p/5087602.html
从素质教育的“非标”难题切入，「叮当派」要做素质教育内容服务平台_36氪,	 素质教育的口号喊了很多年之后国内的培训市场仍处于萌芽状态，除了 STEM 教育之外，语言、艺术、喜剧,	 http://36kr.com/p/5086480.html
周航：我所理解的“后O2O时代”_36氪,	 编者按：本文来自微信公众号“还是不举手就发言”（ID：JustBB2），作者 周航；36氪经授权发布,	 http://36kr.com/p/5075313.html
HR SaaS如何黏住用户？企飞要从财税优化等刚需服务切入_36氪,	 人力资源SaaS我们报道过很多，大多从薪资发放、社保代缴、绩效管理中的某个单点切入，再延伸至各种与H,	 http://36kr.com/p/5073414.html
8个角度1张图，解读中国便利店发展现状_36氪,	 ,	 http://36kr.com/p/5075797.html
南昌3000万鼓励开社区便利店，单店最多补助10万！_36氪,	 “社区连锁便利店每个门店最高可获10万元补助，每个配送中心最高可获60万元补助……”记者昨日从江西南,	 http://36kr.com/p/5076394.html
