36氪首发 | 联合办公空间Bee+进军深圳并宣布完成数千万A轮融资_36氪,	 8月12日，国内高端联合办公空间品牌Bee+正式进军深圳，Bee+蛇口G&G空间正式开业。蜜蜂科技创,	 http://36kr.com/p/5087732.html
36氪_让一部分人先看到未来,	 ,	 http://36kr.com/p/1.html
《权利的游戏》让宜家火了一把，囧雪诺的守夜人制服竟然是宜家的毯子_36氪,	 编者按：本文来自爱范儿，作者 方嘉文 ,	 http://36kr.com/p/5087718.html
「丑」了 9 年的 App Store，在 iOS 11 变成了最美的原生应用_36氪,	 编者按：本文来自少数派，36氪经授权发布。,	 http://36kr.com/p/5087724.html
真正强大的商业分析能力是怎样炼成的？_36氪,	 编者按：本文来自知乎"关键明"（微信公众号ID：bigideaa），关健明，首席品牌官专栏作者。前奥,	 http://36kr.com/p/5087699.html
专访胡润：新零售正热，新金融有前景，AI离创造富豪还远_36氪,	 无论是在今年发布的胡润富豪榜上还是白手起家富豪榜上，科技行业都很火热，物流零售和电子商务上升速度最快,	 http://36kr.com/p/5085745.html
梁军：乐视网未来重心是电视，其他业务该砍就砍_36氪,	 本文来自“网易聚焦”（ID：spotlight_netease），作者 贺树龙、管艺雯,	 http://36kr.com/p/5085792.html
Uber中国新APP上线了，不过它好像就是滴滴啊_36氪,	 文／肖芸芸,	 http://36kr.com/p/5055657.html
网约车新政第一天，滴滴、黑车和出租车司机们_36氪,	 文｜孙然 杨林 方婷 杨昕 罗昊 肖芸芸 张晴 闫浩 ,	 http://36kr.com/p/5055625.html
苹果可折叠专利曝光，iPhone8或成为“技多不压身”的潮品？_36氪,	 其实“Think different”的苹果一直在努力创新。,	 http://36kr.com/p/5055707.html
8点1氪：网约车新政今起实施，神州、易到发文回应；古永锵卸任优酷土豆CEO；陆金所启动香港上市；魅蓝5发布_36氪,	 神州、易到回应网约车新政：将按照实施细则进行调整改进,	 http://36kr.com/p/5055572.html
机器翻译的前世今生_36氪,	 ,	 http://36kr.com/p/533801.html
王思聪的香蕉体育正在直播王健林的中国杯，体育内容会成为熊猫TV突围的关键点吗？_36氪,	 段暄又开始直播足球了，不过这次不是在央视。因为他已经于2015年12月离开央视，加入了王思聪成立的香,	 http://36kr.com/p/5061409.html
“三好网” C2C 模式占领 K12 课外培训市场，专注线上远程辅导，不切 O2O,	 ,	 http://36kr.com/p/532777.html
【更美独家】“更美”医美服务平台完成B轮融资_36氪,	 更美创始人刘迪向36氪独家透露，已经获得数千万美元B轮投资，领投方为美国维梧资本（VIVO Capi,	 http://36kr.com/p/5035627.html
Facebook有近40%的用户只从移动端访问，其Q4广告收入移动端占比达69%_36氪,	 Facebook今天发布2014年Q4财报，第四季度整体营收为 38.5 亿美元，较去年同期的 25,	 http://36kr.com/p/219225.html
Facebook Messenger月活跃用户数超8亿_36氪,	 Facebook官方博客刚刚公布了旗下聊天软件Facebook Messenger（FM）最新的用户,	 http://36kr.com/p/5042035.html
免费网络被禁止后，Facebook 这回要在印度推出付点小钱的网络服务_36氪,	 汲取之前被印度政府禁掉的教训，Facebook 这次换了种“姿势”给印度人民提供上网服务。,	 http://36kr.com/p/5073593.html
低薪职位更易受AI冲击，男人被机器取代的几率比女人大_36氪,	 编者按：本文来自微信公众号“新智元”（ID：AI_era）编译 朱焕，36氪经授权发布 。,	 http://36kr.com/p/5087652.html
DeepMind进军星际争霸2，谷歌Facebook打响通用AI战争_36氪,	 编者按：本文来自微信公众号“新智元”（ID：AI_era），内容来源：deepmind.com/bl,	 http://36kr.com/p/5087541.html
All in【新能源+智能网联】：汽车投资人需要注意哪些？_36氪,	 编者按：本文来自微信公众号“车云”（ID：cheyunwang），作者王逸非。,	 http://36kr.com/p/5087731.html
投资组合大小对回报率有多大影响？_36氪,	 大多数风险投资基金的投资组合项目一般比较少，大约在有 20-40家公司。如果投资组合的平均投资数量增,	 http://36kr.com/p/5073807.html
在种子轮中，如何区分风险投资、种子投资和天使投资？ | 投资人说_36氪,	 编者按：创业公司只有在一轮又一轮的融资中才会获得为自己正名的机会和可能。喧嚣的资本市场之下，融资方和,	 http://36kr.com/p/5073948.html
余额宝利率重回4%了，你可能不知道这和打击影子银行有关_36氪,	 余额宝的利率突破4%大关了。,	 http://36kr.com/p/5074782.html
警惕！广告屏蔽插件Adblock不仅减少广告收入，还会降低网站流量_36氪,	 据PageFair最新报告显示，著名广告屏蔽插件Adblock对网站的流量和收入都有巨大影响。,	 http://36kr.com/p/5070898.html
“无限流量卡”真不限流量，但限了这些！_36氪,	 近段时间，随着国家“提速降费”的号召，三大运营商也推出了自己的套餐，各种无限流量卡一时间看得人眼花缭,	 http://36kr.com/p/5076288.html
阿迪达斯将部分在华产能转向德国智能工厂，劳动力成本高低已经不重要了？_36氪,	 不断攀升的劳动力成本、智能制造的发展正在削弱“中国制造”的优势，将生产线转出中国的选择早已不是个案。,	 http://36kr.com/p/5070828.html
阿迪达斯CEO：在美国大规模制造运动鞋不！可！能！_36氪,	 4月13日，36氪报道了由于中国劳动力成本升高，阿迪达斯将部分生产线撤回德国机器人工厂。最近，阿迪达,	 http://36kr.com/p/5072291.html
阿迪达斯继续快速扩张，想成为中国最好的运动品牌_36氪,	 2016年10月成为阿迪达斯新任的首席执行官以来，不到一年的时间内，Kasper Rorsted已经,	 http://36kr.com/p/5072966.html
给达康书记提建议：网红明星如何选择内容平台？_36氪,	 今年中国娱乐业最大黑马非《人民的名义》莫属。收视率和播放量爆棚的同时，也让达康书记的扮演者吴刚意外走,	 http://36kr.com/p/5071075.html
今日头条反诉腾讯：天天快报多次侵犯今日头条的作品版权 _36氪,	 4月26日中午，腾讯科技发表文章称，因今日头条涉嫌侵犯腾讯作品版权和约稿版权，腾讯已于近日向北京市海,	 http://36kr.com/p/5072539.html
看一看，搜一搜，微信一夜之间就囊括了百度和今日头条_36氪,	 2017年5月17日，微信又玩了一次让人胆寒的“半夜鸡叫”。在接近 10 点的时候，微信 iOS 版,	 http://36kr.com/p/5075517.html
音乐加评论已经不新鲜，音乐加线上杂志会流行起来么？_36氪,	 1、,	 http://36kr.com/p/5087106.html
豆瓣要上市，豆瓣要挣钱，豆瓣怎么办？_36氪,	 过去两天，豆瓣 CEO 阿北因为在一封题为《年中业务调整》的内部信里提了一嘴豆瓣预期上市通道将重新放,	 http://36kr.com/p/5086992.html
新浪成立5亿美元基金，投资中国互联网金融公司_36氪,	 新浪首席执行官曹国伟在公司第二季度业绩电话会议上对投资者表示，公司董事会批准了“Online Fin,	 http://36kr.com/p/5087549.html
​“合享新创”要做中国的专利数据库，帮企业发掘专利背后的价值_36氪,	 合享新创是一家定位专利数据分析的公司，类似于36氪此前报道过的“智慧芽”。当被问及市场规模有多大时，,	 http://36kr.com/p/5050125.html
专利有很多玩法，拿到C轮的“智慧芽”要做企业的决策引擎_36氪,	 近日，PatSnap智慧芽对外宣布，已完成由红杉资本中国基金领投、顺为资本跟投的C轮融资。智慧芽成立,	 http://36kr.com/p/5057714.html
金融科技是火了，金融欺诈也多了，怎么办？_36氪,	 四十年前，银行诈骗可能只涉及简单地伪造账户持有人的签名。现在，这些阴谋数量的增长速度和复杂性令人难以,	 http://36kr.com/p/5072696.html
搭建银行风险资产数据库，「联合金控」提供了新的风险资产处置方案_36氪,	 中国不良资产产业链起源于1999年，为了加入WTO，符合《巴塞尔协议》要求，金融行业也必须市场化，国,	 http://36kr.com/p/5086367.html
华为Q3手机出货量要超苹果，还真要先问问iPhone 8同不同意_36氪,	 在全球智能手机出货量继续走低的情况下，中国的华为、OPPO和小米依然保持着两位数字的高速增长。而且对,	 http://36kr.com/p/5087646.html
36氪首发 | “神州云动”获得B轮融资，用CRM生态满足企业个性化需求_36氪,	 今日，“神州云动”对外宣布已经获得数千万的B轮融资，由齐心集团领投，恒华租赁跟投。此前，“神州云动”,	 http://36kr.com/p/5087122.html
从小龙虾切入，“鲜剑奇虾”认为理顺了供应链就有可能做“菜单的供应商”_36氪,	 目前餐饮企业采购小龙虾的方式分为多种：直接从农户处收购，订购一定量的小龙虾或者收购散货，还有一部分必,	 http://36kr.com/p/5075079.html
半年开了 40 家线下“汤铺”，吃个汤做想让你每天喝汤_36氪,	 《零售老板内参》 撰稿：邓痕痕,	 http://36kr.com/p/5075764.html
开便利店超市的利润空间有多少，要注意哪些风险和坑？_36氪,	 超市，现在已经成为人民生活中不可或缺的一部分，在超市里基本能买到我们日常所需的所有物品，极大的方便我,	 http://36kr.com/p/5076014.html
36氪首发|石榴集获千万元Pre-A轮融资，95后女孩如何做好一个印花品牌？_36氪,	 36氪获悉，主打印花的生活方式品牌“石榴集Pom&Co”即将完成千万元级 Pre-A 轮融资，资方为,	 http://36kr.com/p/5086898.html
星巴克之父Peet's Coffee要进入中国，国内精品咖啡市场潜力究竟多大？_36氪,	 这两天，不少饮品界人士、咖啡爱好者的朋友圈应该都流传着一个用 MAKA 制作的 H5 页面，内容是 ,	 http://36kr.com/p/5086779.html
苹果维持了6年的世界第二，现在要被华为超越了_36氪,	 根据 DigiTimes 报告，中国公司华为在今年第三季度可能超过苹果，成为全球第二大智能手机厂商，,	 http://36kr.com/p/5087642.html
【创业者说】经历向死而生的创业之后，我对创业这件事情的感悟_36氪,	 编者按：本文作者 李孔明-茶小乔CEO，36氪经授权发布。,	 http://36kr.com/p/5073474.html
二季度印度智能手机出货量下滑，中国品牌却逆势上涨_36氪,	 亚太地区正因庞大的人口数量和智能手机的迅速普及成为全球最重要的手机市场，而印度则是亚太地区中潜力最大,	 http://36kr.com/p/5087241.html
印度网约车市场怎么了？看看Uber和Ola的经历就知道了_36氪,	 最近，一个新德里的NGO组织将Ola和Uber告上法庭。该组织依据印度《机动车法案》第67条，指控它,	 http://36kr.com/p/5086510.html
Alexa语音王国迅速扩张的今天，它最大的挑战是什么？_36氪,	 本文来自微信公众号“智东西”（ID：zhidxcom），36氪经授权发布。,	 http://36kr.com/p/5087622.html
揭秘OpenAI，Elon Musk解放人工智能的疯狂计划_36氪,	 去年12月份的一个周五的下午，在Montreal举办的一场为期一周的AI会议快要结束的时候，特斯拉公,	 http://36kr.com/p/5046525.html
通过游戏让 AI 更智能，科技巨头为什么都在这么做？_36氪,	 人工智能算法正从3D视频游戏中获益良多。——Davide Castelvecchi，《自然》杂志,	 http://36kr.com/p/5064972.html
一文带你读懂DeepMind新论文，关联推理为什么是智能最重要的特征_36氪,	 大数据文摘作品，编译 | 宁云州、张礼俊、笪洁琼,	 http://36kr.com/p/5087141.html
科技巨头并购大事记：谷歌收购AI公司最积极，苹果不甘示弱_36氪,	 大数据文摘作品，编译 | 元元、keiko、Yawei。,	 http://36kr.com/p/5087142.html
当下零售的本质还是场货人吗？_36氪,	 当下零售的本质还是场货人吗？在互联网改变下的世界，当电商冲击线下零售改变了消费者购物习惯的如今，零售,	 http://36kr.com/p/5087846.html
网易云音乐完成7.5亿元A轮融资，估值80亿，跻身独角兽行列_36氪,	 前不久，网易云音乐包下杭州地铁1号线车厢和江陵路地铁站，依靠85条UGC乐评内容传播音乐的力量，迅速,	 http://36kr.com/p/5070479.html
近十年过去，国内音乐行业有进步吗？_36氪,	 编者按：本文来自微信公众号“音乐先声”（ID：nakedmusic），作者 范志辉。,	 http://36kr.com/p/5074619.html
腾讯音乐娱乐集团集齐“三大”独家版权，其他平台还能玩下去吗？_36氪,	 编者按：本文来自微信公众号“音乐先声”（ID：nakedmusic），作者 范志辉，编辑  visi,	 http://36kr.com/p/5075270.html
杀死风口上的音乐人_36氪,	 近两年音乐行业的发展，基本上是一年起码一至两个风口，所有人在面对风口时，基本都很慌。音乐人怕赶不上这,	 http://36kr.com/p/5086711.html
嘻哈爆发之后，下一个会是古风吗？_36氪,	 最近，嘻哈风潮随着《中国有嘻哈》节目的持续播出高热不退。一时间，各大社交媒体都在“freestyle,	 http://36kr.com/p/5086508.html
【Update】击中大数据“七寸之地”，“天眼查”完成1.3亿元A轮融资_36氪,	 今日，商业调查工具“天眼查”宣布完成1.3亿元人民币的A轮融资，由中小企业发展基金（江苏南通有限合伙,	 http://36kr.com/p/5047368.html
从一级市场出发，企名片想做“Wind资讯＋”_36氪,	 “我们想做Wind资讯＋，或者说就是一级市场的Bloomberg。”企名片创始人兼CEO党壮说到。,	 http://36kr.com/p/5066369.html
周航：低谷时期的正确姿势_36氪,	 编者按：本文来自微信公众号“还是不举手就发言”（ID：JustBB2），作者 周航；36氪经授权发布,	 http://36kr.com/p/5075743.html
李彦宏：过去的创新来源于实验室和大学，未来的创新来源于数据和场景_36氪,	 编者按：本文来自微信公众号“百度”（ID：baidu_2000）。,	 http://36kr.com/p/5077481.html
从百度在传统业务上的“沉沦”看互联网营销的未来趋势_36氪,	 编者按：本文来自于“互联网数据官”（微信号：internetcdo），作者宋星，36氪经授权发布。,	 http://36kr.com/p/5083379.html
夜宵越火，城市越活？ 中国夜宵经济大比拼_36氪,	 ,	 http://36kr.com/p/5087842.html
投入工作与生活幸福，并非简单对立_36氪,	 编者按：本文整理自创业孵化器 Acceleprise 的联合创始人 Allen Gannett 。这,	 http://36kr.com/p/200337.html
